lit_id,lit_name,k_id,k_name
85071672724,A building information modeling (BIM)-integrated system for evaluating the impact of change orders,buildinginformationmodelingbim,Building information modeling (BIM)
85071672724,A building information modeling (BIM)-integrated system for evaluating the impact of change orders,changedetectionapplication,Change detection application
85071672724,A building information modeling (BIM)-integrated system for evaluating the impact of change orders,changeorder,Change order
85071672724,A building information modeling (BIM)-integrated system for evaluating the impact of change orders,colorcodedvisualization,Color-coded visualization
85071672724,A building information modeling (BIM)-integrated system for evaluating the impact of change orders,delayanalysis,Delay analysis
85071672724,A building information modeling (BIM)-integrated system for evaluating the impact of change orders,timeandcostimpactassessment,Time and cost impact assessment
85067038112,Minimized Financial Losses Due to Interruptions and Voltage Sags with Consideration of Investment Cost,financiallosses,Financial Losses
85067038112,Minimized Financial Losses Due to Interruptions and Voltage Sags with Consideration of Investment Cost,montecarlomethode,Monte-Carlo Methode
85067038112,Minimized Financial Losses Due to Interruptions and Voltage Sags with Consideration of Investment Cost,powerquality,Power Quality
85067038112,Minimized Financial Losses Due to Interruptions and Voltage Sags with Consideration of Investment Cost,powersystemfaults,Power System Faults
85067038112,Minimized Financial Losses Due to Interruptions and Voltage Sags with Consideration of Investment Cost,voltagesag,Voltage Sag
85065082466,Redesign of three-echelon multi-commodity distribution network,clusteringtechnique,Clustering technique
85065082466,Redesign of three-echelon multi-commodity distribution network,distributionnetworkredesign,Distribution network redesign
85065082466,Redesign of three-echelon multi-commodity distribution network,locationroutingproblem,Location routing problem
85065082466,Redesign of three-echelon multi-commodity distribution network,multiechelon,Multi-echelon
85062102028,Internal branding and employees’ brand outcomes: do generational differences and organizational tenure matter?,brandbehaviour,Brand behaviour
85062102028,Internal branding and employees’ brand outcomes: do generational differences and organizational tenure matter?,brandeducation,Brand education
85062102028,Internal branding and employees’ brand outcomes: do generational differences and organizational tenure matter?,generationaldifferences,Generational differences
85062102028,Internal branding and employees’ brand outcomes: do generational differences and organizational tenure matter?,internalbranding,Internal branding
85062102028,Internal branding and employees’ brand outcomes: do generational differences and organizational tenure matter?,salespeople,Salespeople
85062102028,Internal branding and employees’ brand outcomes: do generational differences and organizational tenure matter?,tenure,Tenure
85057584822,Corrosion behavior of Ti-Cr-N coatings on tool steel substrates prepared using DC magnetron sputtering at low growth temperatures,corrosion,corrosion
85092117796,The increase Of IL-1β and IL-6 in oral epithelial cells induced by corrosion products of multiple-recast palladium-silver dental alloy,corrosion,corrosion
85114167023,Simulation of shear behavior of corroded reinforced concrete beams flexurally repaired with steel fiber-reinforced concrete,corrosion,corrosion
85107563807,Assessment of shear resistance of corroded beams repaired using SFRC in the tension zone,corrosion,corrosion
85149067662,Effect of Amorphous Boron on the Microstructure and Corrosion Properties of Ni-W Coatings,corrosion,corrosion
85057584822,Corrosion behavior of Ti-Cr-N coatings on tool steel substrates prepared using DC magnetron sputtering at low growth temperatures,eis,EIS
85057584822,Corrosion behavior of Ti-Cr-N coatings on tool steel substrates prepared using DC magnetron sputtering at low growth temperatures,potentiodynamicpolarization,Potentiodynamic polarization
85057584822,Corrosion behavior of Ti-Cr-N coatings on tool steel substrates prepared using DC magnetron sputtering at low growth temperatures,ticrncoating,Ti-Cr-N coating
85079787046,SPINAL DISPLACEMENT during THORACIC SPINAL MANIPULATIVE THERAPY,displacement,Displacement
85057835953,Effective GQD/AuNPs nanosensors for selectively bifunctional detection of lysine and cysteine under different photophysical properties,displacement,Displacement
85079787046,SPINAL DISPLACEMENT during THORACIC SPINAL MANIPULATIVE THERAPY,neckpain,neck pain
85130933127,"Effects of active scapular correction on cervical range of motion, pain, and pressure pain threshold in patients with chronic neck pain and depressed scapula: a randomized controlled trial",neckpain,neck pain
85079787046,SPINAL DISPLACEMENT during THORACIC SPINAL MANIPULATIVE THERAPY,spinalmanipulativetherapy,Spinal manipulative therapy
85079787046,SPINAL DISPLACEMENT during THORACIC SPINAL MANIPULATIVE THERAPY,thoracicspine,Thoracic spine
85056121029,The effects of brand cognition process in automobile marketing in the developed countries,automobilemarketing,Automobile Marketing
85056121029,The effects of brand cognition process in automobile marketing in the developed countries,countryoforigin,Country of Origin
85056121029,The effects of brand cognition process in automobile marketing in the developed countries,internationalbranding,International Branding
85056121029,The effects of brand cognition process in automobile marketing in the developed countries,marketentrystrategies,Market Entry Strategies
85074693502,"Love, death and laughter in the city of different angels: S.P. Somtow's Bangkok gothic",gothiclaughter,Gothic laughter
85074693502,"Love, death and laughter in the city of different angels: S.P. Somtow's Bangkok gothic",gothicnovel,Gothic novel
85074693502,"Love, death and laughter in the city of different angels: S.P. Somtow's Bangkok gothic",grotesque,Grotesque
85074693502,"Love, death and laughter in the city of different angels: S.P. Somtow's Bangkok gothic",orientalism,Orientalism
85074693502,"Love, death and laughter in the city of different angels: S.P. Somtow's Bangkok gothic",thailiterature,Thai literature
85063303409,"Adsorption of paraquat from water by insoluble cyclodextrin polymer crosslinked with 1,2,3,4-butanetetracarboxylic acid",1234butanetetracarboxylicacid,"1,2,3,4-Butanetetracarboxylic acid"
85063303409,"Adsorption of paraquat from water by insoluble cyclodextrin polymer crosslinked with 1,2,3,4-butanetetracarboxylic acid",adsorption,Adsorption
85072737390,Adsorption removal of methylene blue onto activated carbon/cellulose biocomposite films: Equilibrium and kinetic studies,adsorption,Adsorption
85042510739,Poly(acrylic acid)-grafted magnetite nanoparticle conjugated with pyrrolidinyl peptide nucleic acid for specific adsorption with real DNA,adsorption,Adsorption
85112784137,"Reactivity characterization of SiO2-coated nano zero-valent iron for iodoacetamide degradation: The effects of SiO2 thickness, and the roles of dehalogenation, hydrolysis and adsorption",adsorption,Adsorption
85118531758,Occurrences and removal of pharmaceutical and personal care products from aquatic systems using advanced treatment- A review,adsorption,Adsorption
85169536377,Metal ion removal using a low-cost coconut shell activated carbon bioadsorbent in the recovery of lactic acid from the fermentation broth,adsorption,Adsorption
85063303409,"Adsorption of paraquat from water by insoluble cyclodextrin polymer crosslinked with 1,2,3,4-butanetetracarboxylic acid",insolublecyclodextrinpolymer,Insoluble cyclodextrin polymer
85063303409,"Adsorption of paraquat from water by insoluble cyclodextrin polymer crosslinked with 1,2,3,4-butanetetracarboxylic acid",paraquat,Paraquat
85063303409,"Adsorption of paraquat from water by insoluble cyclodextrin polymer crosslinked with 1,2,3,4-butanetetracarboxylic acid",watercontamination,Water contamination
85051672867,"The sbGnRH–GTH system in the female short mackerel, Rastrelliger brachysoma (Bleeker, 1851), during breeding season: implications for low gamete production in captive broodstock",fshandlh,FSH and LH
85051672867,"The sbGnRH–GTH system in the female short mackerel, Rastrelliger brachysoma (Bleeker, 1851), during breeding season: implications for low gamete production in captive broodstock",rastrelligerbrachysoma,Rastrelliger brachysoma
85051672867,"The sbGnRH–GTH system in the female short mackerel, Rastrelliger brachysoma (Bleeker, 1851), during breeding season: implications for low gamete production in captive broodstock",reproductiveseason,Reproductive season
85051672867,"The sbGnRH–GTH system in the female short mackerel, Rastrelliger brachysoma (Bleeker, 1851), during breeding season: implications for low gamete production in captive broodstock",sbgnrh,sbGnRH
85051672867,"The sbGnRH–GTH system in the female short mackerel, Rastrelliger brachysoma (Bleeker, 1851), during breeding season: implications for low gamete production in captive broodstock",shortmackerel,Short mackerel
85058717573,"Health status in wild and captive short mackerel, Rastrelliger brachysoma from Thailand: Histopathology",shortmackerel,Short mackerel
85074076384,Seasonal physico-chemical impacts on community structure of microphytobenthos in a Mudflat inside vs outside a breakwater system in the Inner Gulf of Thailand,breakwatersystem,Breakwater system
85074076384,Seasonal physico-chemical impacts on community structure of microphytobenthos in a Mudflat inside vs outside a breakwater system in the Inner Gulf of Thailand,diatom,Diatom
85074076384,Seasonal physico-chemical impacts on community structure of microphytobenthos in a Mudflat inside vs outside a breakwater system in the Inner Gulf of Thailand,microbialcommunity,microbial community
85087905890,Identification of sulfate-reducing and methanogenic microbial taxa in anaerobic bioreactors from industrial wastewater treatment plants using next-generation sequencing and gene clone library analyses,microbialcommunity,microbial community
85074076384,Seasonal physico-chemical impacts on community structure of microphytobenthos in a Mudflat inside vs outside a breakwater system in the Inner Gulf of Thailand,mudflat,Mudflat
85074076384,Seasonal physico-chemical impacts on community structure of microphytobenthos in a Mudflat inside vs outside a breakwater system in the Inner Gulf of Thailand,seasonalvariation,Seasonal variation
85057175872,Supervised machine learning to decipher the complex associations between neuro-immune biomarkers and quality of life in schizophrenia,deficitschizophrenia,Deficit schizophrenia
85057175872,Supervised machine learning to decipher the complex associations between neuro-immune biomarkers and quality of life in schizophrenia,physiosomatic,Physio-somatic
85057175872,Supervised machine learning to decipher the complex associations between neuro-immune biomarkers and quality of life in schizophrenia,tryptophancatabolites,Tryptophan catabolites
85085472212,Risk-based traded demand response between consumers' aggregator and retailer using downside risk constraints technique,demandresponseexchangedrxmarket,Demand response exchange (DRX) market
85085472212,Risk-based traded demand response between consumers' aggregator and retailer using downside risk constraints technique,downsideriskconstraintdrc,Downside risk-constraint (DRC)
85085472212,Risk-based traded demand response between consumers' aggregator and retailer using downside risk constraints technique,electricityretailer,Electricity retailer
85085472212,Risk-based traded demand response between consumers' aggregator and retailer using downside risk constraints technique,riskevaluation,Risk evaluation
85079188760,"Endoscopic transmural necrosectomy: Timing, indications, and methods",endoscopicnecrosectomy,Endoscopic necrosectomy
85079188760,"Endoscopic transmural necrosectomy: Timing, indications, and methods",lumenapposingmetallicstent,Lumen-apposing metallic stent
85079188760,"Endoscopic transmural necrosectomy: Timing, indications, and methods",walledoffnecrosis,Walled-off necrosis
85067303409,Retrospective Analysis of Safety of Vedolizumab in Patients With Inflammatory Bowel Diseases,ae,AE
85067303409,Retrospective Analysis of Safety of Vedolizumab in Patients With Inflammatory Bowel Diseases,drug,Drug
85067303409,Retrospective Analysis of Safety of Vedolizumab in Patients With Inflammatory Bowel Diseases,ibd,IBD
85067303409,Retrospective Analysis of Safety of Vedolizumab in Patients With Inflammatory Bowel Diseases,α4β7integrin,α4β7 Integrin
85069889234,The prevalence of normoalbuminuria and renal impairment in type 2 diabetes mellitus,diabetickidney,Diabetic kidney
85069889234,The prevalence of normoalbuminuria and renal impairment in type 2 diabetes mellitus,disease,Disease
85066074915,Health and disease concepts: an approach to health development,disease,Disease
85069889234,The prevalence of normoalbuminuria and renal impairment in type 2 diabetes mellitus,normoalbuminuria,Normoalbuminuria
85069889234,The prevalence of normoalbuminuria and renal impairment in type 2 diabetes mellitus,renalimpairment,Renal impairment
85063999587,Toxic jellyfish in Thailand,bitesandstings,Bites and stings
85063999587,Toxic jellyfish in Thailand,chironex,Chironex
85063999587,Toxic jellyfish in Thailand,jellyfish,Jellyfish
85063999587,Toxic jellyfish in Thailand,jellyfishvenom,Jellyfish venom
85063999587,Toxic jellyfish in Thailand,physalia,Physalia
85064677022,Inhibition of melanin production by sesquiterpene lactones from Saussurea lappa and their analogues,melanininhibition,Melanin inhibition
85064677022,Inhibition of melanin production by sesquiterpene lactones from Saussurea lappa and their analogues,saussurealappa,Saussurea lappa
85064677022,Inhibition of melanin production by sesquiterpene lactones from Saussurea lappa and their analogues,sesquiterpenelactones,Sesquiterpene lactones
85064677022,Inhibition of melanin production by sesquiterpene lactones from Saussurea lappa and their analogues,structureactivityrelationship,Structure-activity relationship
85064677022,Inhibition of melanin production by sesquiterpene lactones from Saussurea lappa and their analogues,αcyclocostunolide,α-Cyclocostunolide
85069209605,Design and fabrication of robotic autopsy Saw,autopsytechnique,Autopsy technique
85069209605,Design and fabrication of robotic autopsy Saw,cadaver,Cadaver
85069209605,Design and fabrication of robotic autopsy Saw,humandissection,Human dissection
85069209605,Design and fabrication of robotic autopsy Saw,roboticautopsysaw,Robotic autopsy saw
85084541890,Constructing Keyword Propagation Map of Facebook Pages,propagation,Propagation
85084541890,Constructing Keyword Propagation Map of Facebook Pages,socialnetworkvisualization,Social network visualization
85073089044,Peripheral Blood Biomarkers Coupled with the Apolipoprotein E4 Genotype Are Strongly Associated with Semantic and Episodic Memory Impairments in Elderly Subjects with Amnestic Mild Cognitive Impairment and Alzheimer's Disease,aniongap,Anion gap
85076614689,Anion gap reference intervals show instrument dependence and weak correlation with albumin levels,aniongap,Anion gap
85073089044,Peripheral Blood Biomarkers Coupled with the Apolipoprotein E4 Genotype Are Strongly Associated with Semantic and Episodic Memory Impairments in Elderly Subjects with Amnestic Mild Cognitive Impairment and Alzheimer's Disease,apolipoprotein,apolipoprotein
85073089044,Peripheral Blood Biomarkers Coupled with the Apolipoprotein E4 Genotype Are Strongly Associated with Semantic and Episodic Memory Impairments in Elderly Subjects with Amnestic Mild Cognitive Impairment and Alzheimer's Disease,dementia,Dementia
85082484990,The correlation of Thai Mental State Examination (TMSE) and Montreal Cognitive Assessment (MOCA) and conversion table,dementia,Dementia
85047485244,Pharmacological treatments for alleviating agitation in dementia: a systematic review and network meta-analysis,dementia,Dementia
85073089044,Peripheral Blood Biomarkers Coupled with the Apolipoprotein E4 Genotype Are Strongly Associated with Semantic and Episodic Memory Impairments in Elderly Subjects with Amnestic Mild Cognitive Impairment and Alzheimer's Disease,episodicmemory,episodic memory
85061034562,Comparative accuracy of qualitative and quantitative 18F-FDG PET/CT analysis in detection of lymph node metastasis from anal cancer,analcancer,Anal cancer
85061034562,Comparative accuracy of qualitative and quantitative 18F-FDG PET/CT analysis in detection of lymph node metastasis from anal cancer,lymphnodemetastasis,Lymph node metastasis
85061034562,Comparative accuracy of qualitative and quantitative 18F-FDG PET/CT analysis in detection of lymph node metastasis from anal cancer,pet/ct,PET/CT
85061034562,Comparative accuracy of qualitative and quantitative 18F-FDG PET/CT analysis in detection of lymph node metastasis from anal cancer,squamouscellcarcinoma,Squamous cell carcinoma
85061034562,Comparative accuracy of qualitative and quantitative 18F-FDG PET/CT analysis in detection of lymph node metastasis from anal cancer,suvmax,SUV max
85053504686,P120 catenin expression and its correlation with E-cadherin in salivary gland neoplasms,adenoidcysticcarcinoma,Adenoid cystic carcinoma
85053504686,P120 catenin expression and its correlation with E-cadherin in salivary gland neoplasms,ecadherin,E-cadherin
85053504686,P120 catenin expression and its correlation with E-cadherin in salivary gland neoplasms,mucoepidermoidcarcinoma,Mucoepidermoid carcinoma
85053504686,P120 catenin expression and its correlation with E-cadherin in salivary gland neoplasms,p120catenin,P120 catenin
85053504686,P120 catenin expression and its correlation with E-cadherin in salivary gland neoplasms,pleomorphicadenoma,Pleomorphic adenoma
85053504686,P120 catenin expression and its correlation with E-cadherin in salivary gland neoplasms,polymorphousadenocarcinoma,Polymorphous adenocarcinoma
85076603666,Facile fabrication of mesostructured natural rubber/silica nanocomposites with enhanced thermal stability and hydrophobicity,gel,gel
85076603666,Facile fabrication of mesostructured natural rubber/silica nanocomposites with enhanced thermal stability and hydrophobicity,insitusol,in situ sol
85076603666,Facile fabrication of mesostructured natural rubber/silica nanocomposites with enhanced thermal stability and hydrophobicity,mesoporoussilica,Mesoporous silica
85167780068,Bifunctional mesoporous silica solid acids for transformation of glucose to 5-hydroxymethylfurfural,mesoporoussilica,Mesoporous silica
85076603666,Facile fabrication of mesostructured natural rubber/silica nanocomposites with enhanced thermal stability and hydrophobicity,naturalrubber,Natural rubber
85030854232,Fabrication of Admicelled Natural Rubber by Polycaprolactone for Toughening Poly(lactic acid),naturalrubber,Natural rubber
85140909092,Development of a new birthing model material based on silicone rubber/natural rubber blend,naturalrubber,Natural rubber
85076603666,Facile fabrication of mesostructured natural rubber/silica nanocomposites with enhanced thermal stability and hydrophobicity,surfaceproperties,Surface properties
85063267754,Search for top quark partners with charge 5/3 in the same-sign dilepton and single-lepton final states in proton-proton collisions at √s=13 TeV,beyondstandardmodel,Beyond Standard Model
85065134466,Search for contact interactions and large extra dimensions in the dilepton mass spectra from proton-proton collisions at √s=13 TeV,beyondstandardmodel,Beyond Standard Model
85088646665,Search for charged Higgs bosons decaying into a top and a bottom quark in the all-jet final state of pp collisions at √s = 13 TeV,beyondstandardmodel,Beyond Standard Model
85121572316,Search for a heavy resonance decaying to a top quark and a W boson at √s = 13 TeV in the fully hadronic final state,beyondstandardmodel,Beyond Standard Model
85059814699,"Search for heavy resonances decaying into a vector boson and a Higgs boson in final states with charged leptons, neutrinos and b quarks at √s=13 TeV",beyondstandardmodel,Beyond Standard Model
