Journal,Classification
Journal of Musculoskeletal Research,Orthopedics and Sports Medicine
Clinical Nephrology,Nephrology
AIP Advances,General Physics and Astronomy
AIP Advances,General Physics and Astronomy
AIP Advances,General Physics and Astronomy
SAGE Open Medicine,General Medicine
SAGE Open Medicine,General Medicine
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
PLoS ONE,Multidisciplinary
Journal of Medical Sciences (Taiwan),General Medicine
SAGE Open Nursing,General Nursing
AIP Conference Proceedings,General Physics and Astronomy
AIP Conference Proceedings,General Physics and Astronomy
International Endodontic Journal,General Dentistry
International Endodontic Journal,General Dentistry
Regional Anesthesia and Pain Medicine,Anesthesiology and Pain Medicine
Dalton Transactions,Inorganic Chemistry
Dalton Transactions,Inorganic Chemistry
International Journal of Oral and Maxillofacial Implants,Oral Surgery
Journal of GeoEngineering,Geotechnical Engineering and Engineering Geology
Asian Herpetological Research,Animal Science and Zoology
Clinical and Basic Neurogastroenterology and Motility,General Medicine
Journal of Ayub Medical College,General Medicine
"Encyclopedia of Gastroenterology, Second Edition",General Medicine
BMJ Case Reports,General Medicine
BMJ Case Reports,General Medicine
Diseases of the Colon and Rectum,Gastroenterology
Journal of Reproduction and Development,Animal Science and Zoology
Belitung Nursing Journal,General Nursing
Belitung Nursing Journal,General Nursing
Belitung Nursing Journal,General Nursing
Belitung Nursing Journal,General Nursing
Advances in Civil Engineering,Civil and Structural Engineering
Asia-Pacific Journal of Ophthalmology,Ophthalmology
Dentomaxillofacial Radiology,General Medicine
Open Psychology Journal,General Psychology
Clinical Ophthalmology,Ophthalmology
Clinical Ophthalmology,Ophthalmology
Clinical Ophthalmology,Ophthalmology
BMC Veterinary Research,General Veterinary
BMC Veterinary Research,General Veterinary
BMC Veterinary Research,General Veterinary
Journal of Veterinary Medicine Series C: Anatomia Histologia Embryologia,General Veterinary
Journal of Obstetrics and Gynaecology,Obstetrics and Gynecology
ISACA Journal,Control and Systems Engineering
American Journal of Hematology,Hematology
Pathology,Pathology and Forensic Medicine
Environmental Engineering Research,Environmental Engineering
Environmental Engineering Research,Environmental Engineering
REBT with Diverse Client Problems and Populations,General Psychology
Sustainable Bioenergy: Advances and Impacts,General Energy
Pacific Economic Review,Economics and Econometrics
BMC Pediatrics,Pediatrics
BMC Pediatrics,Pediatrics
Case Studies in Construction Materials,Materials Science (miscellaneous)
Case Studies in Construction Materials,Materials Science (miscellaneous)
Case Studies in Construction Materials,Materials Science (miscellaneous)
Blood Advances,Hematology
Blood Advances,Hematology
Blood Advances,Hematology
Blood Advances,Hematology
Insects,Insect Science
Medicine (United States),General Medicine
Corporate Governance (Bingley),Business
Corporate Governance (Bingley),Business
BMC Dermatology,Dermatology
ScienceAsia,Multidisciplinary
ScienceAsia,Multidisciplinary
ScienceAsia,Multidisciplinary
ScienceAsia,Multidisciplinary
ScienceAsia,Multidisciplinary
ScienceAsia,Multidisciplinary
ScienceAsia,Multidisciplinary
ScienceAsia,Multidisciplinary
ScienceAsia,Multidisciplinary
ScienceAsia,Multidisciplinary
Transplantation,Transplantation
Pediatric Research,Pediatrics
Ophthalmology Glaucoma,Ophthalmology
Annals of Medicine and Surgery,Surgery
Arthroscopy Techniques,Orthopedics and Sports Medicine
Arthroscopy Techniques,Orthopedics and Sports Medicine
Arthroscopy Techniques,Orthopedics and Sports Medicine
Arthroscopy Techniques,Orthopedics and Sports Medicine
Algal Research,Agronomy and Crop Science
Algal Research,Agronomy and Crop Science
Journal of Nursing Scholarship,General Nursing
Journal of Nursing Scholarship,General Nursing
Frontiers in Veterinary Science,General Veterinary
Frontiers in Veterinary Science,General Veterinary
Frontiers in Veterinary Science,General Veterinary
Nature Reviews Nephrology,Nephrology
Nature Reviews Nephrology,Nephrology
International Journal of Environmental Science and Development,General Environmental Science
International Journal of Environmental Science and Development,General Environmental Science
Veterinary World,General Veterinary
Veterinary World,General Veterinary
Veterinary World,General Veterinary
Veterinary World,General Veterinary
Veterinary World,General Veterinary
Veterinary World,General Veterinary
Veterinary World,General Veterinary
iScience,Multidisciplinary
iScience,Multidisciplinary
Applied Physics Letters,Physics and Astronomy (miscellaneous)
Applied Physics Letters,Physics and Astronomy (miscellaneous)
Natural Hazards and Earth System Sciences,General Earth and Planetary Sciences
Clinical Infection in Practice,Infectious Diseases
Frontiers in Plant Science,Plant Science
Frontiers in Plant Science,Plant Science
Frontiers in Plant Science,Plant Science
Systematic Reviews in Pharmacy,Pharmaceutical Science
Systematic Reviews in Pharmacy,Pharmaceutical Science
Journal of Civil Society,Sociology and Political Science
Journal of Cosmetic Dermatology,Dermatology
Journal of Cosmetic Dermatology,Dermatology
Journal of Cosmetic Dermatology,Dermatology
Journal of Cosmetic Dermatology,Dermatology
Journal of Cosmetic Dermatology,Dermatology
Materials Today: Proceedings,General Materials Science
Materials Today: Proceedings,General Materials Science
Acta Oto-Laryngologica,Otorhinolaryngology
Thai Journal of Obstetrics and Gynaecology,Obstetrics and Gynecology
Thai Journal of Obstetrics and Gynaecology,Obstetrics and Gynecology
Thai Journal of Obstetrics and Gynaecology,Obstetrics and Gynecology
Thai Journal of Obstetrics and Gynaecology,Obstetrics and Gynecology
BMC Public Health,Public Health
BMC Public Health,Public Health
BMC Endocrine Disorders,Endocrinology
Journal of Experimental Psychology: Applied,Experimental and Cognitive Psychology
Clinical Transplantation,Transplantation
International Economics and Economic Policy,Economics and Econometrics
Tsunamiites: Features and Implications,General Earth and Planetary Sciences
IEEE Transactions on Smart Grid,General Computer Science
Clinical Oral Investigations,General Dentistry
Acta Mathematica Hungarica,General Mathematics
Anesthesiology,Anesthesiology and Pain Medicine
Veterinary Medicine and Science,General Veterinary
Journal of Evidence-Based Medicine,Health Policy
Zoologia,Animal Science and Zoology
Journal of Environmental Science and Health - Part A Toxic/Hazardous Substances and Environmental Engineering,Environmental Engineering
China’s Rise In Mainland Asean: Regional Evidence And Local Responses,General Social Sciences
American Journal of Kidney Diseases,Nephrology
American Journal of Kidney Diseases,Nephrology
Orbit (London),Ophthalmology
Songklanakarin Journal of Science and Technology,Multidisciplinary
Songklanakarin Journal of Science and Technology,Multidisciplinary
Songklanakarin Journal of Science and Technology,Multidisciplinary
Songklanakarin Journal of Science and Technology,Multidisciplinary
Songklanakarin Journal of Science and Technology,Multidisciplinary
"Globalisation, Societies and Education",Education
New England Journal of Medicine,General Medicine
Journal of Gemmology,Geochemistry and Petrology
Journal of Veterinary Medical Science,General Veterinary
International Journal of Surgery Case Reports,Surgery
Eye & contact lens,Ophthalmology
Scientia Pharmaceutica,Pharmaceutical Science
Investigative and Clinical Urology,Urology
ACM Transactions on Asian and Low-Resource Language Information Processing,General Computer Science
Plastic and Reconstructive Surgery - Global Open,Surgery
International Journal of Pharmaceutics,Pharmaceutical Science
Veterinary Dermatology,General Veterinary
Veterinary Dermatology,General Veterinary
Agriculture and Natural Resources,General Agricultural and Biological Sciences
Agriculture and Natural Resources,General Agricultural and Biological Sciences
Journal of HerbMed Pharmacology,Drug Discovery
Artificial Satellites,Space and Planetary Science
Journal of Health Science and Medical Research,General Medicine
Journal of Health Science and Medical Research,General Medicine
Surgery (United States),Surgery
BMC Medicine,General Medicine
BMC Medicine,General Medicine
Journal of International Dental and Medical Research,General Dentistry
Manusya,General Arts and Humanities
Manusya,General Arts and Humanities
Journal of King Saud University - Computer and Information Sciences,General Computer Science
Food and Function,Food Science
Clinical Cancer Research,General Medicine
Veterinary Ophthalmology,General Veterinary
Energy Reports,General Energy
Energy Reports,General Energy
Energy Reports,General Energy
Thrombosis Journal,Hematology
Plastic and Reconstructive Surgery,Surgery
Renewable and Sustainable Energy Reviews,Renewable Energy
Aesthetic Surgery Journal,Surgery
Chinese Medical Journal,General Medicine
BMC Pulmonary Medicine,Pulmonary and Respiratory Medicine
Journal of Surgical Research,Surgery
Journal of Innate Immunity,Immunology and Allergy
BMC Gastroenterology,Gastroenterology
Knee,Orthopedics and Sports Medicine
Archives of Virology,Virology
Trends in Sciences,Multidisciplinary
Trends in Sciences,Multidisciplinary
Trends in Sciences,Multidisciplinary
Trends in Sciences,Multidisciplinary
European Journal of Medical Research,General Medicine
Cells,General Medicine
Cells,General Biochemistry
Applied Environmental Research,General Environmental Science
Applied Environmental Research,General Environmental Science
Frontiers in Public Health,Public Health
Talanta,Analytical Chemistry
Talanta,Analytical Chemistry
Comprehensive Reviews in Food Science and Food Safety,Food Science
International Journal of Economics and Finance Studies,Economics
American Journal of Emergency Medicine,Emergency Medicine
Nature Astronomy,Astronomy and Astrophysics
Analytical Chemistry,Analytical Chemistry
Analytical Chemistry,Analytical Chemistry
International Encyclopedia of Transportation: Volume 1-7,General Social Sciences
Schizophrenia Bulletin,Psychiatry and Mental Health
International Journal of Rheumatic Diseases,Rheumatology
International Dental Journal,General Dentistry
Protein Expression and Purification,Biotechnology
Political Violence in Southeast Asia since 1945: Case Studies from Six Countries,General Arts and Humanities
Annals of Physics,General Physics and Astronomy
Journal of Exercise Physiology Online,Physiology (medical)
Journal of Exercise Physiology Online,Physiology (medical)
Journal of Exercise Physiology Online,Physiology (medical)
Journal of Food Science and Technology,Food Science
Journal of Food Science and Technology,Food Science
Aquaculture,Aquatic Science
Aquaculture,Aquatic Science
Aquaculture,Aquatic Science
Advances in Experimental Medicine and Biology,General Biochemistry
World Journal of Hepatology,Hepatology
Journal of Climate,Atmospheric Science
Asian Journal of Organic Chemistry,Organic Chemistry
Hepatology International,Hepatology
Hepatology International,Hepatology
Mathematics,General Mathematics
Mathematics,General Mathematics
European Archives of Oto-Rhino-Laryngology,Otorhinolaryngology
European Archives of Oto-Rhino-Laryngology,Otorhinolaryngology
Journal of Hand Surgery: European Volume,Surgery
JCO Global Oncology,General Medicine
Earth System Science Data,General Earth and Planetary Sciences
Indian Journal of Critical Care Medicine,Critical Care and Intensive Care Medicine
Indian Journal of Critical Care Medicine,Critical Care and Intensive Care Medicine
Molecular Imaging and Radionuclide Therapy,Radiology
Computers and Concrete,Computational Mechanics
Nucleic Acids Research,Genetics
Platelets,Hematology
Veterinary Quarterly,General Veterinary
IET Renewable Power Generation,Renewable Energy
Acta Ophthalmologica,Ophthalmology
Clinical and Applied Thrombosis/Hemostasis,Hematology
Research Anthology on Adult Education and the Development of Lifelong Learners,General Social Sciences
International Journal of Interdisciplinary Civic and Political Studies,Sociology and Political Science
Frontiers in Medicine,General Medicine
"Medical sciences (Basel, Switzerland)",General Medicine
The Encyclopedia of Bacteriology Research Developments,General Immunology and Microbiology
Journal of Business Research,Marketing
QJM,General Medicine
QJM,General Medicine
Physical Review C,Nuclear and High Energy Physics
Nihon Enerugi Gakkaishi/Journal of the Japan Institute of Energy,General Energy
Journal of Clinical Microbiology,Microbiology (medical)
European Journal of Mineralogy,Geochemistry and Petrology
Forensic Science International,Pathology and Forensic Medicine
"Radiology in Global Health: Strategies, Implementation, and Applications",General Medicine
IEEJ Transactions on Electrical and Electronic Engineering,Electrical and Electronic Engineering
Journal of Physiological Sciences,Physiology
Mathematics Magazine,General Mathematics
Medical Mycology,Infectious Diseases
Adult CNS Radiation Oncology: Principles and Practice,General Medicine
Climacteric,Obstetrics and Gynecology
Journal of Population Research,Demography
Pertanika Journal of Tropical Agricultural Science,Agronomy and Crop Science
Journal of Clinical Periodontology,Periodontics
Critical Care,Critical Care and Intensive Care Medicine
Nuclear Physics B,Nuclear and High Energy Physics
Universe,General Physics and Astronomy
Acta Horticulturae,Horticulture
Cochrane Database of Systematic Reviews,Pharmacology (medical)
Revista Brasileira de Psiquiatria,Psychiatry and Mental Health
American Journal of Pathology,Pathology and Forensic Medicine
Obstetrical and Gynecological Survey,Obstetrics and Gynecology
Journal of Glaucoma,Ophthalmology
Journal of Glaucoma,Ophthalmology
Annals of Gastroenterology,Gastroenterology
Asian Pacific Journal of Tropical Biomedicine,Biochemistry
Clinical Drug Investigation,Pharmacology (medical)
Current Dermatology Reports,Dermatology
Journal of Industrial and Engineering Chemistry,General Chemical Engineering
Thai Journal of Mathematics,General Mathematics
Annals of Intensive Care,Critical Care and Intensive Care Medicine
American Journal of Roentgenology,Radiology
BMC Research Notes,General Biochemistry
Veterinary Sciences,General Veterinary
Veterinary Sciences,General Veterinary
Current Ophthalmology Reports,Ophthalmology
BMC Complementary Medicine and Therapies,Complementary and Alternative Medicine
BMC Complementary Medicine and Therapies,Complementary and Alternative Medicine
BMC Complementary Medicine and Therapies,Complementary and Alternative Medicine
Journal of Infectious Diseases,General Medicine
Ecology and Society,Ecology
Singapore Economic Review,Economics and Econometrics
Singapore Economic Review,Economics and Econometrics
Singapore Economic Review,Economics and Econometrics
Journal of Nephrology,Nephrology
Frontiers in Surgery,Surgery
Frontiers in Surgery,Surgery
Frontiers in Surgery,Surgery
Health Research Policy and Systems,Health Policy
Ain Shams Engineering Journal,General Engineering
Nanoscale,General Materials Science
Results in Engineering,General Engineering
Results in Engineering,General Engineering
BMC Nephrology,Nephrology
Systematic Reviews,Medicine (miscellaneous)
Systematic Reviews,Medicine (miscellaneous)
Pharmaceutics,Pharmaceutical Science
Journal of Clinical Medicine,General Medicine
"Brain, Behavior, and Immunity - Health",Nephrology
Nuclear Medicine Communications,Radiology
Joule,General Energy
Food Research International,Food Science
Food Research International,Food Science
"Braconidae of the Middle East (Hymenoptera): Taxonomy, Distribution, Biology, and Biocontrol Benefits of Parasitoid Wasps",General Agricultural and Biological Sciences
"Braconidae of the Middle East (Hymenoptera): Taxonomy, Distribution, Biology, and Biocontrol Benefits of Parasitoid Wasps",General Agricultural and Biological Sciences
Respiratory Medicine Case Reports,Pulmonary and Respiratory Medicine
Finance Research Letters,Finance
Finance Research Letters,Finance
Siriraj Medical Journal,General Medicine
Journal of Personalized Medicine,Medicine (miscellaneous)
ACS Applied Materials and Interfaces,General Materials Science
ACS Applied Materials and Interfaces,General Materials Science
European Journal of Oral Sciences,General Dentistry
Frontiers in Education,Education
Research in Pharmaceutical Sciences,General Pharmacology
"43rd Asian Conference on Remote Sensing, ACRS 2022",Information Systems
Experimental Biology and Medicine,General Biochemistry
Case Reports in Dermatology,Dermatology
Scientia Horticulturae,Horticulture
Journal of Obstetrics and Gynaecology Research,Obstetrics and Gynecology
Proceedings of Science,Multidisciplinary
Proceedings of Science,Multidisciplinary
Proceedings of Science,Multidisciplinary
Proceedings of Science,Multidisciplinary
Angle Orthodontist,Orthodontics
Journal of Islamic Marketing,Marketing
Acta Odontologica Scandinavica,General Dentistry
Brain Sciences,General Neuroscience
European Journal of Dentistry,General Dentistry
European Journal of Dentistry,General Dentistry
European Journal of Dentistry,General Dentistry
PLoS Medicine,General Medicine
Cellulose,Polymers and Plastics
International Nursing Review,General Nursing
World Electric Vehicle Journal,Automotive Engineering
Journal of Obstetrics and Gynaecology Canada,Obstetrics and Gynecology
Lecture Notes in Civil Engineering,Civil and Structural Engineering
Lecture Notes in Civil Engineering,Civil and Structural Engineering
Lecture Notes in Civil Engineering,Civil and Structural Engineering
Hematology (United Kingdom),Hematology
American Journal of Ophthalmology Case Reports,Ophthalmology
Policy Futures in Education,Education
Autonomous Vehicle Ethics: The Trolley Problem and Beyond,General Arts and Humanities
Journal of Physical Education and Sport,Physical Therapy
Investigative Radiology,Radiology
Science Education International,Education
Surgical Practice,Surgery
Architectural Science Review,Architecture
ACS Applied Nano Materials,General Materials Science
ACS Applied Nano Materials,General Materials Science
Information (Switzerland),Information Systems
SLAS discovery : advancing life sciences R & D,General Medicine
Clinical Cardiology,Cardiology and Cardiovascular Medicine
Canadian Journal of Chemical Engineering,General Chemical Engineering
"China's Belt And Road Initiative In Asean: Growing Presence, Recent Progress And Future Challenges",General Social Sciences
Breast Cancer: Targets and Therapy,Oncology
