id,Organization,Literature
100612215,"Associates of Cape Cod, Inc.",1
60130044,State Key Lab for Geological Processes and Mineral Resources,1
60015615,Stanford Healthcare,2
100826489,Chonburi Cancer Hospital,1
60073540,Zhejiang Cancer Hospital,1
60006974,Royal North Shore Hospital,2
60107208,Sunway University,1
60030945,UNC Eshelman School of Pharmacy,1
60008197,Hamilton Health Sciences,1
60003872,Joslin Diabetes Center,3
114159116,Sawan Pracharak Hospital,4
60071438,Jose R. Reyes Memorial Medical Center,1
60019823,National Institute of Radiological Sciences Chiba,1
111375784,Dr Kamashi Memorial Hospital,1
60011418,Kobe University,1
60274641,RIKEN Center for Biosystems Dynamics Research,1
60016648,Riken,1
60014277,Institute of Genetics and Developmental Biology Chinese Academy of Sciences,1
60110569,Institut für Chemische Verfahrenstechnik und Umwelttechnik,1
60018861,John Innes Centre,2
60109393,Wittgenstein Centre for Demography and Global Human Capital,1
60103514,"Academia Sinica, Institute of Sociology",1
60013763,University of Maiduguri,1
60023241,Trang Hospital,1
106365252,National Institute of Metrology,1
60091477,Chiang Mai Rajabhat University,3
60000264,Nagoya University,2
60088079,Qingdao Agricultural University,1
60066596,University of Balochistan,1
60002980,Southwest University of Science and Technology,1
116094781,Angthong Hospital,1
60139025,The Cyprus Institute,1
60170475,"Faculty of Health, Education, Medicine &amp; Social Care",2
60118837,Centre for Youth Mental Health,3
60110201,The Florey,3
60020416,Hammersmith Hospital,2
60003438,ORYGEN Youth Health,3
113568771,Tir Na Nog,3
60091527,Pibulsongkram Rajabhat University,2
60002316,Victoria University of Wellington,3
60117932,"University of East Anglia, Norwich Medical School",1
60100018,Brighton and Sussex Medical School,1
60029890,"Royal National Throat, Nose and Ear Hospital",1
60009797,Guy's Hospital,1
60001231,James Paget University Hospitals NHS Foundation Trust,1
60021568,University of Texas Medical School at Houston,2
60011339,University of Texas Graduate School of Biomedical Sciences at Houston,1
60010253,Universidade do Extremo Sul Catarinense,1
118781700,Universidade La Salle,1
116531760,Institute for Clinical Research and Education in Medicine (IREM),9
60103563,The University of Hong Kong Li Ka Shing Faculty of Medicine,1
60014454,Anhui Medical University,1
60013156,Guangzhou Medical University,2
60028842,Schepens Eye Research Institute,5
60123796,Université Paris Cité,2
60091539,Samutsakhon General Hospital,1
60029610,Lampang Hospital,1
60029132,Mae Chan Hospital,1
60025484,Banglamung Hospital,1
60021165,Lamphun Hospital,1
60020872,U.S. Department of State,1
60017777,National Institute of Child Health and Human Development (NICHD),1
120368459,Maharaj Nakornratchasrima Hospital,1
106249955,Phayao Hospital,2
101463088,Samutprakarn Hospital,1
100667167,Chiang Kham Hospital,1
100610420,Institut de recherche pour le développement (IRD) UMI 174-PHPT,2
60011284,"Universidad de los Andes, Chile",2
109716592,Ngoc Nguyen Eye Clinic,1
60071489,University of Santo Tomas Hospital,2
60032354,"Universiti Sains Malaysia, Health Campus",1
60029395,Hospital Canselor Tuanku Muhriz UKM,2
60015772,KK Women's And Children's Hospital,1
60007189,Gleneagles Hospital,1
127842725,Medical Center Manila,1
121318717,Klinik Pakar Y&amp;C,1
121318641,Klnic Chong,1
106710368,KK Hospital,1
100447376,Ipoh Gastro Centre,1
100401413,Fatimah Hospital,1
100349774,General Hospital,1
60000060,Lehigh University,1
60032407,Chiba Institute of Technology,1
60002512,"School of Medical Sciences, Universiti Sains Malaysia",1
118709805,Ministry of Agriculture and Environment,1
60001490,University of Glasgow,2
122906616,Mettapracharak (Wat Rai Khing) Hospital,1
60119317,Graduate School of Medicine,7
60113370,"A-Star, Singapore Immunology Network",1
60069406,Universitas Syiah Kuala,1
60012627,Xishuangbanna Tropical Botanical Garden Chinese Academy of Sciences,4
60070476,Centre INRAE Nouvelle-Aquitaine Bordeaux,2
128203322,Baiya Phytopharm Co. Ltd.,7
60007136,Laboratoire des Signaux et Systèmes,4
116677307,College of Pharmacotherapy Thailand,1
60275193,WorldWide Antimalarial Resistance Network,1
60008936,Nuffield Department of Medicine,3
127833380,ExxonMobil,1
120591372,Programme National de Lutte Contre le Paludisme au Tchad,1
114158874,WorldWide Antimalarial Resistance Network – Asia-Pacific Regional Centre,1
60014739,UT Southwestern Medical School,1
60008221,Massey University,2
60030556,Sukhothai Thammatirat Open University,3
60020476,Australian Centre for International Agricultural Research,1
60015157,Stockholm Environment Institute,2
100729786,Buddhachinnaraj Hospital,1
121577996,Research Network of NANOTEC - CU on Environment,8
60138675,Jashore University of Science and Technology,4
60020210,Rajshahi University,3
60053707,University of the Punjab,2
60082830,Huaiyin Institute of Technology,1
60170520,PSG Institute of Technology and Applied Research,1
60111823,Thiruvalluvar University,1
60108624,Muthurangam Government Arts College (Autonomus),1
60008714,Merck Animal Health,1
60004969,Università di Parma,1
116056334,Charoen Pokphand Foods Public Company Limited,1
113172215,Intervet (Thailand) Ltd.,1
127148398,FRS(T),1
60004407,Cranfield University,1
60072885,Ministry of Health Laos,1
128987521,Kaysone-Phomvihan District,1
116052052,Buntharik Hospital,1
113155055,"National Center for Parasitology, Entomology and Malaria Control (CNM)",1
60026204,Institute of Analytical Chemistry of the Czech Academy of Sciences,1
60009780,Universitat de les Illes Balears,1
60114580,"Sri Ramakrishna College of Arts and Science, Coimbatore",1
60110904,Dr. N.G.P. Arts and Science College,1
60006029,Nottingham Trent University,1
126973004,Vivekanandha Arts and Science College for Women,1
128906646,North-West University,1
60008950,The Australian National University,2
60211810,School of Medicine,2
60122372,The First Affiliated Hospital of Xiamen University,2
60022174,Changhua Christian Hospital,2
60005206,Fujian Medical University,2
60071540,Université Cheikh Anta Diop de Dakar,2
60027161,Ben-Gurion University of the Negev,1
60268770,The University of Haripur,2
60116490,University of Exeter Business School,1
60109875,"Institute of Psychology, Russian Academy of Sciences",1
60107585,Universidad Catolica Boliviana,2
60106411,Leibniz Institute for the Social Sciences GESIS,1
60106299,Universidad Manuela Beltrán,1
60105245,Fundación Universitaria Konrad Lorenz,1
60105022,"Alex Ekwueme Federal University, Ndufu-Alike",1
60104671,University of Ha'il,2
60104383,Instituto D'Or de Pesquisa e Ensino,2
60090173,The Faculty of Health Sciences,1
60082391,"Institute of Psychology, Academy of Sciences of the Czech Republic",2
60071236,Pontificia Universidad Catolica del Peru,2
60032282,University of Trnava,1
60030838,Toronto Metropolitan University,1
60030514,Aberystwyth University,1
60029714,North-West University,1
60029611,TOBB University of Economics and Technology,1
60029386,Hubei University,1
60027398,Stress Forsknings Institutet,1
60026777,Università degli Studi della Campania Luigi Vanvitelli,2
60025390,University of Nigeria,2
60025059,Dublin City University,1
60024417,Universitatea Babeș-Bolyai,58
60023383,Universidad de Santiago de Chile,1
60023033,Adnan Menderes Üniversitesi,1
60018933,Singapore Management University,1
60014171,University of Waterloo,2
60012035,Universidad de la Frontera,3
60010330,Slovak Academy of Sciences,2
60010265,University of Colorado at Colorado Springs,1
60010023,Rijksuniversiteit Groningen,1
60003892,Arizona State University,2
60003662,Universidad de Málaga,1
60002913,Environmental Defense Fund,1
116700765,Ayrton Senna Institute,1
60032116,Juntendo University,3
60189241,Tokyo Ariake University of Medical and Health Sciences,2
60172370,Juntendo University Graduate School of Medicine,4
60110524,Shaqra University,1
60109780,"Institute of Nano Science and Technology, Mohali",1
60089669,University of Malakand,1
60026276,"Universitatea din Oradea, Facultatea de Medicina",1
127132179,Institute for Medicinal Plants Research “Dr. Josif Pančić”,1
115054868,University School of Pharmaceutical Sciences,1
60022096,"The Food and Drug Administration, Thailand Ministry of Public Health",1
60189105,Universitas Alma Ata,1
60116768,National Kaohsiung University of Science and Technology,2
60097223,National Institute of Technology Silchar,3
60033290,Boise VA Medical Center,1
122157806,Idlib University,1
127564353,FRS(T),14
60090601,Universiti Teknologi Malaysia Kuala Lumpur,1
60199584,Chulalongkorn Cancer Immunotherapy Excellence Center,2
60107090,Hindustan Institute of Technology and Science,1
60013463,Politechnika Krakowska,1
122427392,University VOC College of Engineering,1
122415631,Nehru Institute of Technology,1
60092864,Daegu Gyeongbuk Institute of Science and Technology,1
60009081,Silesian University of Technology,1
115838518,Sunpasitthiprasong Hospital,2
60108743,Noakhali Science and Technology University,1
60072089,Universiti Brunei Darussalam,1
60032987,Griffith University,1
60011268,Shahjalal University of Science and Technology,1
116700778,Jyothy Institute of Technology,1
60242136,NTNU Business School,1
60020188,Copenhagen Business School,1
101710960,Nakhon Ratchasima Provincial Public Health Office,2
127703994,SCG,2
60007200,Michigan Medicine,2
60103561,"National Institute of Technology, Durgapur",1
60027741,King Khalid University,1
60029740,Chung Yuan Christian University,2
60108698,National Pingtung University,1
60071457,Ateneo de Manila University,1
60011357,National Sun Yat-Sen University,1
60268829,Asian Disaster Preparedness Center,1
60006337,NASA Goddard Space Flight Center,4
60028973,South African Medical Research Council,1
60027093,"Noblis, Inc.",1
60013269,Sefako Makgatho Health Sciences University (SMU),1
60004876,J. Craig Venter Institute,1
60109789,"The Islamic University, Najaf",4
60015849,Tufts University School of Medicine,2
128330848,Iraqi Education Ministry,1
60000823,Universidad de Castilla-La Mancha,1
112580778,Center for Bioenergy Innovation,1
101618617,Queen Sirikit National Institute for Child Health,3
123341899,Thai Red Cross Rehabilitation Center,1
127061655,Research Center for Biocomposite Materials for Medical Industry and Agricultural and Food Industry,1
60024451,Universiti Malaysia Sarawak,1
60087824,Ministry of Land and Resources P.R.C.,3
60071461,Central Luzon State University,1
60058195,"International Islamic University, Islamabad",1
124951651,Central Chest Institute of Thailand,1
114718965,Somdech Phra Pinklao Hospital,3
60032515,Universitätsklinikum Würzburg,1
60030807,Universität Regensburg,2
60030319,Hospital for Sick Children University of Toronto,1
60020565,Children's Hospital Los Angeles,1
60111398,"Islamic Azad University, Shahr-e-Rey Branch",2
60026365,Faculty of Science,2
60121918,Shanghai Dongfang Hospital,1
60068691,Asan Medical Center,1
60014334,Dana-Farber Cancer Institute,2
60010925,National Cancer Center Hospital East,2
60008510,Beijing Cancer Hospital,1
60004412,IRIS Institut de Recherches Internationales Servier,1
60022132,University of St Andrews,1
120942929,LUX Scotland,1
60030782,Universidad de Tarapacá,60
60069410,Bengkulu University,1
60023529,National Taiwan Ocean University,1
60104521,University of Taipei,1
60030015,Fu Jen Catholic University College of Medicine,1
116578178,Ministry of Transport,1
60002105,Chulachomklao Royal Military Academy,1
60194939,Nakhon Phanom University,1
60159848,University of Liberal Arts Bangladesh,1
105491225,"Aldevron, LLC",1
60108640,KPR Institute of Engineering and Technology,3
60105371,Universidad Autónoma de Chile,2
60014510,College of Applied Medical Sciences,1
60009387,"Dongguk University, Seoul",1
60005465,University of Electronic Science and Technology of China,1
60254871,Tsuchiya General Hospital,1
60024843,Kyungpook National University Hospital,1
60019202,"Keele University, School of Medicine",1
60000260,St George Hospital,1
60117325,"Dibrugarh University, Department of Pharmaceutical Sciences",1
60069388,Universitas Padjadjaran,1
107223445,COLORADO STATE UNIVERSITY,2
60119479,"Institute for Integrated Radiation and Nuclear Science, Kyoto University",1
100317994,Tepco Systems Corporations,1
60274446,College of Engineering and Technology,24
60032291,US Naval Academy,16
60021199,Consiglio Nazionale delle Ricerche,24
60007774,Forschungszentrum Jülich GmbH,9
60002686,Punjab Agricultural University,57
60002175,Universidade do Estado do Amazonas,53
126365406,MATE Institute of Technology,24
60196827,Faculty of Medical Sciences,1
60104513,Muş Alparslan Üniversitesi,1
60023004,University of Delaware,1
60013499,Ohio Agricultural Research and Development Center,1
60010177,University of Florida Institute of Food and Agricultural Sciences,1
60003553,Food and Agriculture Organization of the United Nations,2
100341022,Animal Disease Diagnostic Laboratory,1
60016296,National Aeronautics and Space Administration,3
60011779,NASA Marshall Space Flight Center,3
60011167,Universidad de Monterrey,3
60007966,Tecnológico de Monterrey,5
100465802,Universidad Politécnica de Pachuca,5
60006387,Payap University,1
60069382,Institut Teknologi Bandung,1
60196596,UBD School of Business and Economics,1
60014387,National Research Council of Thailand,1
60017841,Universidade Federal de Lavras,1
60114400,Valliammai Engineering College,1
60021176,Anna University,1
60008157,Vinayaka Mission's Research Foundation,1
60022598,South China Seas Institute of Oceanography Chinese Academy of Sciences,1
60016835,Beijing Institute of Technology,1
60069412,Universitas Jember,1
60025704,"City, University of London",1
60109766,Quchan University of Technology,2
110345257,Phetchaburi Coastal Aquaculture Research and Development Center,1
60021334,University of Arizona College of Medicine – Tucson,1
60001117,Johns Hopkins School of Medicine,6
60103837,Hospital Pulau Pinang,1
113110264,Loh Guan Lye Specialists Centre,1
100380861,Island Hospital,1
60020376,Cawthron,1
101863285,Sanford Limited,1
60111796,Ho Chi Minh City University of Transport,1
60089918,State Key Laboratory of Multiphase Flow in Power Engineering,1
60079452,"Kalinga Institute of Industrial Technology, Bhubaneswar",1
60071399,Ho Chi Minh City University of Technology - HUTECH,2
60071357,University of Danang,1
60021984,World Maritime University,1
127647729,Winner Prototype,1
60103807,Universitas Ahmad Dahlan,1
60069385,Universitas Diponegoro,2
124361330,Embedded System and Power Electronics Research Group,1
60108134,Chevron Australia Pty Ltd,1
128247623,Institute of Environmental Science and Research,1
118191910,Chevron Thailand Exploration and Production,1
60086650,Institute of Genetics and Animal Biotechnology of the Polish Academy of Sciences,1
60070270,Ashoka Trust for Research in Ecology and the Environment,2
60069595,"National Institute of Advanced Studies, Bangalore",1
60020464,Guangxi Normal University,1
60013290,University of Mysore,1
60032495,Cancer Institute Hospital of Japan Foundation for Cancer Research,1
60081583,Hong Kong Hospital Authority,1
60032738,Koo Foundation Sun Yat-Sen Cancer Center Taiwan,1
100802051,Taitung Christian Hospital,1
60029886,OFS Laboratories,1
60025556,"KDDI Research, Inc.",1
60009424,Jihočeská Univerzita v Českých Budějovicích,1
60028897,University of Ottawa,2
60002173,Ottawa Hospital Research Institute,2
60013141,Norges Teknisk-Naturvitenskapelige Universitet,1
60162625,Faculty of Humanities and Social Sciences,1
60010307,University of Colorado Denver,2
60109335,Saveetha Medical College and Hospital,1
60024697,Faculty of Medicine,2
60020413,Imperial College Faculty of Medicine,2
60015440,Universidade de Fortaleza,1
117098933,Manipal Hospitals,1
112928438,Lokmanya Tilak Medical College and General Hospital,1
112568546,São José do Rio Preto Medical School,1
128154093,MARS—Motor AI Recognition Solution,1
124101394,Digital Economy Promotion Agency,1
127019087,PSE for SPEED Company Limited,1
60271836,Institut de Recherche sur l'Asie du Sud-est Contemporaine,1
126872889,Talenome DNA Professional Ltd,1
60092124,Chaiyapoom Hospital,1
60033133,Bangkok Metropolitan Administration,2
60026403,Songkhla Hospital,1
128159592,Dialysis Policy and Practice Program (Di3P),8
127648342,Center of Excellence in Kidney Metabolic Disorders,8
127621454,Banphaeo Hospital,2
127436441,Phra Nakhon Si Ayutthaya Hospital,1
126190167,Maharat Nakhon Ratchasima Hospital,1
115633254,Krabi Hospital,1
113676844,Sisaket Hospital,1
107898110,Maharaj Nakhon Si Thammarat Hospital,1
107653501,Udonthani Hospital,1
107283127,Chaophraya Abhaibhubejhr Hospital,1
60000130,Universidad de Murcia,1
60021763,Universität Potsdam,2
60004017,Helmholtz-Zentrum Berlin für Materialien und Energie (HZB),5
60031031,Shandong University,1
60107094,Centre de Physique des Particules de Marseille,1
60088268,University of South China,1
60073699,China Aerospace Science and Technology Corporation,1
60073518,Dongguan University of Technology,2
60071046,Institute of Electronics and Computer Science Latvia,1
60068946,LP2I - Laboratoire de Physique des Deux Infinis Bordeaux,1
60061261,Chinese Academy of Geological Sciences,1
60035853,Pakistan Institute of Nuclear Science and Technology,2
60032398,University of Jyväskylä,1
60032361,Pontifícia Universidade Católica do Rio de Janeiro,1
60032006,Nantes Université,1
60030270,Guangxi University,1
60029681,Pontificia Universidad Católica de Chile,2
60029399,National United University Taiwan,1
60026626,China Institute of Atomic Energy,1
60024690,University of Ferrara,1
60024350,National University of Defense Technology China,1
60023380,Chongqing University,1
60023237,Beijing Normal University,1
60021751,Wuyi University,1
60021227,North China Electric Power University,1
60019118,University of Science and Technology of China,3
60018038,Nankai University,1
60017456,Jinan University,1
60017246,Eberhard Karls Universität Tübingen,1
60012630,Università degli Studi Roma Tre,1
60012370,National Chiao Tung University,1
60011069,East China University of Science and Technology,1
60007711,Jilin University,1
60007087,Universidad Técnica Federico Santa María,1
60001987,Univerzita Komenského v Bratislave,1
60073562,Northeast Electric Power University,1
60012684,Kunsan National University,1
60004534,Apollo Hospitals Group,1
113213650,Hospital Queen Elizabeth II,1
128814150,Chulalongkorn University (CUSAR),2
101348625,Chiangrai Prachanukroh Hospital,1
60189561,Vinayaka Mission's Kirupananda Variyar Arts and Science College,1
60002397,University of South Africa,1
129973437,Thanyaburi District Prison,1
128108774,Division of Medical Services,1
60018325,Kasem Bundit University,1
60077260,MLL Münchner Leukämielabor GmbH,1
60032732,Taussig Cancer Center,2
60172570,Graduate School of Medical and Dental Sciences,2
60271923,Bangkokthonburi University,1
60009852,Tokushima University,1
60110316,"Facultad de Ciencias Exactas, Universidad Nacional de La Plata",1
60104927,"Dr. D. Y. Patil Medical College, Hospital &amp; Research Centre, Dr. D. Y. Patil Vidyapeeth, Pune",1
60006655,Universitäts-Kinderspital Beider Basel,1
127618320,Independent Consultant,1
112938493,Sir Syed College of Medical Sciences for Girls,1
60015047,Bangladesh Agricultural University,1
60014584,Sher-e-Bangla Agricultural University,1
60008293,Universität Bremen,1
60004468,Hajee Mohammad Danesh Science and Technology University,1
127717509,Rural Development Academy,1
127687095,Saelee Research Group,4
127686847,Rittiruam Research Group,4
60109792,Imam Ja'afar Al-Sadiq University,1
116983894,Al-Najaf Center for Cardiac Surgery and Trans Catheter Therapy,1
60027259,Erskine College,1
60104653,Université Grenoble Alpes,1
60031720,Fukuoka University,1
60099032,Honeywell UOP,1
60006221,Brookhaven National Laboratory,1
60001558,Electronics and Telecommunications Research Institute,1
60112014,"MedAustron, Austria",1
60010785,National Physical Laboratory,1
128123245,Wongveerakit Crocodile Farm,2
60023970,Hôpital Henri Mondor,2
60002681,"Universitätsklinikum Gießen und Marburg, Standort Marburg",2
60055350,Liaquat University of Medical and Health Sciences,5
60070604,Air University Islamabad,1
60013104,Brandon University,1
60006988,China Medical University,1
60071147,University of Baghdad,1
60129232,State Key Laboratory of Marine Geology,2
60072277,Senckenberg Forschungsinstitut und Naturmuseum,1
60017134,Justus-Liebig-Universität Gießen,1
128947994,Purple Sun Clinic,1
60008372,Rutnin Eye Hospital,1
128220159,Sukhunphat Malimas Microbiology Laboratory Biosafety level I,2
60121547,Department of Medicine,1
60082605,"Frontier Science &amp; Technology Research Foundation, Inc.",1
60082111,"Social &amp; Scientific Systems, Inc.",1
60079992,University of the Witwatersrand Faculty of Health Sciences,1
60071691,Joint Clinical Research Center Uganda,1
60071504,University of Puerto Rico School of Medicine,1
60069644,Hospital Nossa Senhora da Conceicao,1
60002909,Gilead Sciences Incorporated,1
60216852,Faculty of Engineering,1
60023195,Universidad del Bio Bio,2
60014156,Soongsil University,2
125595006,Central Institute of Petrochemicals Engineering and Technology (CIPET),1
120258784,Leibniz-Institut für Werkstofforientierte Technologien IWT,1
117924993,Phetchabun Provincial Health Office,1
60199577,Siriraj Piyamaharajkarun Hospital,1
124728599,Pathumthani University,1
130008166,Thailand Public Health Research Fellowship,1
113196375,National Institute of Health of Thailand,1
60069411,Universitas Mulawarman,1
112772135,Southeast Asian Fisheries Development Center,2
60104115,"National Institute of Technology, Kure College",1
128501424,Ltd.,1
60163100,Warwick Manufacturing Group,1
130070472,Center for Excellence in Biostatistics,1
60120610,Texas A&amp;M College of Veterinary Medicine &amp; Biomedical Sciences,1
60117640,TUM Fakultät für Medizin,2
60016146,Moredun Research Institute,2
60000282,Saraburi Hospital,1
106959129,Phramongkutklao Hospital,1
60069985,Universitair Ziekenhuis Brussel,1
60073799,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,2
60023882,Aarhus Universitetshospital,2
60021073,Hopital Dupuytren,1
60009622,Università Vita-Salute San Raffaele,1
113098572,Hôpital Privé Jean Mermoz,1
60123531,State Key Laboratory of Microbial Metabolism,1
60009824,Tokyo City University,5
60185923,Graduate School of Medical Sciences,1
60271969,Centro de Investigación Biomédica en Red de Cáncer,1
60118432,The Second Affiliated Hospital Zhejiang University School of Medicine,1
60071478,Philippine General Hospital,2
60071449,University of the Philippines College of Medicine,1
60025370,National Taiwan University College of Medicine,1
60012275,St. Marianna University School of Medicine,1
60011374,Tohoku University Hospital,1
60010037,National Health Research Institutes Taiwan,1
60005996,St. John's Medical College,1
129768385,Aurelius Hospital Nilai,1
121989463,Thomson Hospital Kota Damansara,1
60079949,Homi Bhabha National Institute,58
60015046,Huachiew Chalermprakiet University,1
60105222,Prince Sattam Bin Abdulaziz University,1
60094091,Chaitanya Bharathi Institute of Technology,1
60068769,Lebanese American University,1
60010618,Vellore Institute of Technology,2
60160279,The University of Queensland Business School,1
129990093,Intronics company limited,1
60187514,Hanoi University of Mining and Geology,1
60115722,Geologisches Institut,1
60005200,Duke University School of Medicine,2
60071359,Vietnam Academy of Science and Technology,1
60028009,Yunnan University,1
60018910,Kunming Institute of Botany,2
60016521,Sichuan University,1
60001319,Missouri Botanical Garden,1
123352787,The National Orchid Conservation &amp; Research Center of Shenzhen,1
112986292,Shanghai Chenshan Botanical Garden,1
118660916,Ltd.,1
60122342,The First Affiliated Hospital of Wenzhou Medical University,1
60171739,Graduate School of Medical Science,1
60122353,"The Eighth Affiliated Hospital, Sun Yat-sen University",1
60102742,Sardenya Primary Health Care Center,1
60097294,University of Sri Jayewardenepura,1
60085312,"McGill University Health Centre, Royal Victoria Hospital",1
60081403,"Diabetes Foundation (India), New Delhi",1
60079638,Recep Tayyip Erdogan University,1
60073654,Xinhua Hospital Affiliated to Shanghai Jiao Tong University School of Medicine,1
60071678,"School of Medicine, Makerere University College of Health Sciences",1
60067083,School of Medicine,1
60033267,Hospital Universitario Virgen del Rocío,1
60031437,Wake Forest University School of Medicine,1
60030982,Duke Clinical Research Institute,1
60026701,"Fuwai Hospital, Chinese Academy of Medical Sciences &amp; Peking Union Medical College",1
60022134,Aalborg University,1
60021722,Southampton General Hospital,1
60021696,"Faculdade de Medicina, Universidade de Lisboa",1
60016728,Yonsei University College of Medicine,1
60016332,King Faisal Specialist Hospital and Research Centre,1
60013180,Universitatea de Medicina si Farmacie Iuliu Hatieganu din Cluj-Napoca,1
60009445,CHU Angers,1
60008073,Wenzhou Medical University,1
60002593,Southern Medical University,1
60000799,Università di Verona Scuola di Medicina e Chirurgia,1
60000718,Beaumont Hospital,1
125564303,Key Laboratory of Diagnosis and Treatment for the Development of Chronic Liver Disease in Zhejiang Province,1
120842452,WellSpan Health,1
112625701,LUNAM University,1
60121115,Department of Physics,1
60007171,Purple Mountain Observatory Chinese Academy of Sciences,1
129138465,National Astronomical Research Institute of Thail,2
123712636,NSF's National Optical-Infrared Astronomy Research Laboratory,1
60261044,Instituto de Investigación Sanitaria del Principado de Asturias,1
60108692,Universidad Francisco de Vitoria,1
60013249,Hospital Universitario de Canarias,1
112653262,Hospital Universitario de Torrejón,1
60032971,Universidade dos Açores,3
123159305,Ambis University,1
129965599,Limited,1
60071792,Kathmandu University,1
60071790,Tribhuvan University,1
60008610,Deutsches Primatenzentrum,1
129612293,United Nations Multi-Country Office for Micronesia,1
60030074,Universidade Federal de Minas Gerais,1
130143740,Shri Jagdishprasad Jhabarmal Tibrewala University,1
100545366,Research Foundation,1
128494278,Seoul Top Spine Hospital,1
117986824,Hospital H+ Querétaro,1
60194924,Uttaradit Rajabhat University,1
60112527,College of Sciences,1
60023813,Shanghai University,1
129474355,Emerging Industries Institute Shanghai University,1
60216969,College of Science,1
60032269,Aligarh Muslim University,1
60014713,National Organization for Drug Control and Research Egypt,1
60014618,National Research Centre,1
60004351,Universiti Teknologi MARA,1
60103702,Ural Federal University,1
60018390,Alexander Dubcek University of Trencin,1
60122189,Elaphe Ltd.,1
