id,Classification
85097434794,General Social Sciences
85115707699,General Social Sciences
85120786134,General Social Sciences
85151205115,General Social Sciences
85106876266,General Social Sciences
85112037999,General Social Sciences
85128017713,General Social Sciences
85127473643,General Social Sciences
85141127739,General Social Sciences
85163550802,General Social Sciences
85165179798,General Social Sciences
85163278197,General Social Sciences
85044734677,General Veterinary
85061393958,General Veterinary
85066091299,General Veterinary
85100766403,General Veterinary
85097754956,General Veterinary
85099738556,General Veterinary
85091052772,General Veterinary
85084139718,General Veterinary
85095700852,General Veterinary
85079598800,General Veterinary
85085909187,General Veterinary
85090288353,General Veterinary
85075186208,General Veterinary
85090273111,General Veterinary
85114367730,General Veterinary
85116276999,General Veterinary
85123733643,General Veterinary
85105932736,General Veterinary
85113497033,General Veterinary
85107229225,General Veterinary
85055188449,General Veterinary
85147427223,General Veterinary
85136879457,General Veterinary
85140595411,General Veterinary
85140311013,General Veterinary
85140917324,General Veterinary
85130212429,General Veterinary
85135902292,General Veterinary
85164534650,General Veterinary
85146788020,General Veterinary
85151835160,General Veterinary
85074569518,Health Policy
85061476553,Health Policy
85085123452,Health Policy
85142849542,Health Policy
85160071776,Health Policy
85150923345,Health Policy
85086693768,Public Health
85085994436,Public Health
85119428178,Public Health
85097278478,General Environmental Science
85086016803,General Environmental Science
85132163592,General Environmental Science
85107482302,General Environmental Science
85095112379,General Earth and Planetary Sciences
85127196099,General Earth and Planetary Sciences
85108097013,General Earth and Planetary Sciences
85065258830,Environmental Engineering
85087905890,Environmental Engineering
85054590025,Environmental Engineering
85080101758,Biomedical Engineering
85084503297,General Materials Science
85117178352,General Materials Science
85144040114,General Materials Science
85123985464,General Materials Science
85125341116,General Materials Science
85154572098,General Materials Science
85148858081,General Materials Science
85119970111,Finance
85151735721,Finance
85044304285,Economics and Econometrics
85085338599,Economics and Econometrics
85107350224,Economics and Econometrics
85096138332,Economics and Econometrics
85151811867,Economics and Econometrics
85022071002,Physiology
85102344838,Plant Science
85118311286,Plant Science
85167608381,Plant Science
85047314220,General Chemical Engineering
85076300739,General Chemical Engineering
85092039518,General Chemical Engineering
85086655634,General Chemical Engineering
85082817501,General Chemical Engineering
85109581227,General Chemical Engineering
85138148154,General Chemical Engineering
85133696906,General Chemical Engineering
85106248013,General Chemical Engineering
85067657000,Civil and Structural Engineering
85121916380,Civil and Structural Engineering
85125220713,Civil and Structural Engineering
85151130321,Civil and Structural Engineering
85077216268,General Nursing
85103140622,General Nursing
85089988820,General Nursing
85111240487,General Nursing
85115621094,General Nursing
85126329492,General Nursing
85137972791,General Nursing
85166032881,General Nursing
85168292139,General Nursing
85131714277,General Nursing
85151819885,General Nursing
85068050759,Anesthesiology and Pain Medicine
85079250528,Anesthesiology and Pain Medicine
85073529830,Animal Science and Zoology
85071354570,Animal Science and Zoology
85097376594,Animal Science and Zoology
85075023216,Education
85131720867,Education
85133904832,Education
85144798738,Education
85049207535,General Engineering
85075926519,General Engineering
85075947794,General Engineering
85065071964,General Engineering
85071672724,General Engineering
85065082466,General Engineering
85092234898,General Engineering
85090258666,General Engineering
85084214989,General Engineering
85114453441,General Engineering
85114459930,General Engineering
85123002433,General Engineering
85105556101,General Engineering
85102682432,General Engineering
85122299713,General Engineering
85112610102,General Engineering
85060301990,General Engineering
85051293469,General Engineering
85126821753,General Engineering
85142810873,General Engineering
85131447485,General Engineering
85164503835,General Engineering
85153585368,General Engineering
85149144802,General Engineering
85108192115,Radiology
85136734883,Radiology
85139803923,Radiology
85122546166,Radiology
85151744300,Radiology
85074749399,General Economics
85128220305,General Neuroscience
85063401120,Artificial Intelligence
85027562644,General Psychology
85073033253,General Psychology
85065861114,General Psychology
85064371460,General Psychology
85140594312,General Psychology
85123373439,General Psychology
85049030562,Pharmacology (medical)
85051263294,Pharmacology (medical)
85074724262,General Biochemistry
85078120406,General Biochemistry
85073817232,General Biochemistry
85072691758,General Biochemistry
85106320636,General Biochemistry
85117503838,General Biochemistry
85141385325,General Biochemistry
85167415162,General Biochemistry
85130041142,General Biochemistry
85132688631,General Biochemistry
85137579088,General Biochemistry
85101471600,Psychiatry and Mental Health
85052541960,Psychiatry and Mental Health
85161966368,Psychiatry and Mental Health
85163956700,Psychiatry and Mental Health
85153702237,Psychiatry and Mental Health
85047344776,General Mathematics
85085288667,General Mathematics
85103636568,General Mathematics
85054911826,General Mathematics
85145820133,General Mathematics
85123572309,General Mathematics
85162801064,General Mathematics
85160356049,General Mathematics
85045020611,General Physics and Astronomy
85077821220,General Physics and Astronomy
85076124005,General Physics and Astronomy
85077816578,General Physics and Astronomy
85065556806,General Physics and Astronomy
85062210634,General Physics and Astronomy
85068748208,General Physics and Astronomy
85066315798,General Physics and Astronomy
85062597017,General Physics and Astronomy
85064398210,General Physics and Astronomy
85095842404,General Physics and Astronomy
85096502238,General Physics and Astronomy
85082985901,General Physics and Astronomy
85086805847,General Physics and Astronomy
85106315159,General Physics and Astronomy
85108908811,General Physics and Astronomy
85059639710,General Physics and Astronomy
85054036077,General Physics and Astronomy
85059480239,General Physics and Astronomy
85052837614,General Physics and Astronomy
85053284118,General Physics and Astronomy
85064394304,General Physics and Astronomy
85057986772,General Physics and Astronomy
85141847385,General Physics and Astronomy
85123694402,General Physics and Astronomy
85124974726,General Physics and Astronomy
85149803076,General Physics and Astronomy
85148022393,General Physics and Astronomy
85166245739,General Physics and Astronomy
85046790353,Complementary and Alternative Medicine
85135428496,Complementary and Alternative Medicine
85132418115,Complementary and Alternative Medicine
85148383225,Complementary and Alternative Medicine
85064352690,Control and Systems Engineering
85042617226,Electrical and Electronic Engineering
85107561210,Immunology and Allergy
85064279579,Hematology
85057310610,Hematology
85098074752,Hematology
85119347300,Hematology
85111558326,Hematology
85102313796,Hematology
85096430770,Hematology
85104610241,Hematology
85132076333,Hematology
85133215097,Hematology
85113903667,Virology
85099427294,Genetics
85149443512,Information Systems
85130962131,Information Systems
85046649627,Pharmaceutical Science
85072996966,Pharmaceutical Science
85068163650,Pharmaceutical Science
85090485310,Pharmaceutical Science
85077343946,Pharmaceutical Science
85076058139,Pharmaceutical Science
85083002300,Pharmaceutical Science
85144885374,Pharmaceutical Science
85103377648,Organic Chemistry
85052531825,Food Science
85065626297,Food Science
85114197485,Food Science
85107049387,Food Science
85086781984,Food Science
85084665697,Food Science
85069897226,Food Science
85139030836,Food Science
85129513993,Food Science
85055206982,Communication
85106273182,Molecular Medicine
85102270310,Molecular Medicine
85117720424,Molecular Medicine
85118639674,Polymers and Plastics
85045257168,Geriatrics and Gerontology
85076792477,Geriatrics and Gerontology
85041430693,Multidisciplinary
85071397754,Multidisciplinary
85067190342,Multidisciplinary
85073571196,Multidisciplinary
85067939815,Multidisciplinary
85074097306,Multidisciplinary
85075517053,Multidisciplinary
85071269811,Multidisciplinary
85063335719,Multidisciplinary
85076780988,Multidisciplinary
85069431051,Multidisciplinary
85067455129,Multidisciplinary
85059495831,Multidisciplinary
85062964364,Multidisciplinary
85065540486,Multidisciplinary
85088872690,Multidisciplinary
85094202021,Multidisciplinary
85091715580,Multidisciplinary
85099510728,Multidisciplinary
85088645207,Multidisciplinary
85078884975,Multidisciplinary
85097123996,Multidisciplinary
85090991496,Multidisciplinary
85082380872,Multidisciplinary
85089310509,Multidisciplinary
85083777123,Multidisciplinary
85085760271,Multidisciplinary
85087656410,Multidisciplinary
85078093381,Multidisciplinary
85080968369,Multidisciplinary
85114740684,Multidisciplinary
85104254376,Multidisciplinary
85108810501,Multidisciplinary
85117397654,Multidisciplinary
85100257821,Multidisciplinary
85099412413,Multidisciplinary
85119324797,Multidisciplinary
85101466540,Multidisciplinary
85116855300,Multidisciplinary
85112057474,Multidisciplinary
85116928599,Multidisciplinary
85121575632,Multidisciplinary
85109645961,Multidisciplinary
85103347890,Multidisciplinary
85106010950,Multidisciplinary
85107510098,Multidisciplinary
85101985511,Multidisciplinary
85118684781,Multidisciplinary
85103265408,Multidisciplinary
85099835244,Multidisciplinary
85104497297,Multidisciplinary
85113352937,Multidisciplinary
85103068155,Multidisciplinary
85106361369,Multidisciplinary
85106183437,Multidisciplinary
85058307261,Multidisciplinary
85062870801,Multidisciplinary
85046818191,Multidisciplinary
85054019175,Multidisciplinary
85047873668,Multidisciplinary
85058717573,Multidisciplinary
85058790064,Multidisciplinary
85128902630,Multidisciplinary
85137125890,Multidisciplinary
85138359855,Multidisciplinary
85129989403,Multidisciplinary
85141190299,Multidisciplinary
85142272714,Multidisciplinary
85137912404,Multidisciplinary
85130745287,Multidisciplinary
85141384325,Multidisciplinary
85144141160,Multidisciplinary
85131828925,Multidisciplinary
85143210223,Multidisciplinary
85137209218,Multidisciplinary
85135072802,Multidisciplinary
85131903008,Multidisciplinary
85143546804,Multidisciplinary
85139293960,Multidisciplinary
85141141818,Multidisciplinary
85136987861,Multidisciplinary
85124058569,Multidisciplinary
85125860352,Multidisciplinary
85134834588,Multidisciplinary
85145009073,Multidisciplinary
85144627117,Multidisciplinary
85144389574,Multidisciplinary
85122949029,Multidisciplinary
85134487146,Multidisciplinary
85131018617,Multidisciplinary
85145250830,Multidisciplinary
85125426099,Multidisciplinary
85126173538,Multidisciplinary
85148295677,Multidisciplinary
85160967173,Multidisciplinary
85163814996,Multidisciplinary
85152434203,Multidisciplinary
85166230557,Multidisciplinary
85161465355,Multidisciplinary
85161054910,Multidisciplinary
85166674423,Multidisciplinary
85165706328,Multidisciplinary
85151045098,Multidisciplinary
85145956665,Multidisciplinary
85149496251,Multidisciplinary
85168601749,Multidisciplinary
85152914295,Multidisciplinary
85160769891,Multidisciplinary
85147184654,Multidisciplinary
85146340352,Multidisciplinary
85152898483,Multidisciplinary
85153994179,Multidisciplinary
85165293613,Multidisciplinary
85167533172,Multidisciplinary
85163734847,Multidisciplinary
85162226200,Multidisciplinary
85150696590,Multidisciplinary
85149317344,Multidisciplinary
85149494229,Multidisciplinary
85099392473,Sociology and Political Science
85103766528,Sociology and Political Science
85062637315,Computer Science (miscellaneous)
85065787724,Computer Science (miscellaneous)
85028959204,General Agricultural and Biological Sciences
85091436264,General Agricultural and Biological Sciences
85142772848,General Agricultural and Biological Sciences
85137546152,General Agricultural and Biological Sciences
85137605043,General Agricultural and Biological Sciences
85168642969,General Agricultural and Biological Sciences
85161925389,Water Science and Technology
85098115630,Geochemistry and Petrology
85056590125,Geochemistry and Petrology
85156149520,Geochemistry and Petrology
85074703921,Analytical Chemistry
85110299405,Analytical Chemistry
85106489006,Analytical Chemistry
85100125815,Analytical Chemistry
85139259417,Analytical Chemistry
85123749034,Analytical Chemistry
85061059269,Atomic and Molecular Physics
85142507892,Ecology
85102582101,Cardiology and Cardiovascular Medicine
85133502562,Cardiology and Cardiovascular Medicine
85165093901,Cardiology and Cardiovascular Medicine
85147388348,Cardiology and Cardiovascular Medicine
85054583665,Periodontics
85093122730,Periodontics
85090756339,Periodontics
85050811010,Periodontics
85044946324,Periodontics
85143416791,Periodontics
85167358469,Periodontics
85076265509,Geotechnical Engineering and Engineering Geology
85042129406,Physics and Astronomy (miscellaneous)
85091945109,Physics and Astronomy (miscellaneous)
85056203919,Physics and Astronomy (miscellaneous)
85054534174,Physics and Astronomy (miscellaneous)
85135052806,Physics and Astronomy (miscellaneous)
85061267681,Pediatrics
85082821798,Pediatrics
85118769087,Pediatrics
85168464882,Pediatrics
85073543690,Pulmonary and Respiratory Medicine
85099214806,Pulmonary and Respiratory Medicine
85141293256,Pulmonary and Respiratory Medicine
85146364403,Pulmonary and Respiratory Medicine
85069447387,Marketing
85100382982,Marketing
85144054169,Marketing
85036494583,General Dentistry
85075814075,General Dentistry
85056192806,General Dentistry
85065720311,General Dentistry
85092117796,General Dentistry
85090064804,General Dentistry
85124898073,General Dentistry
85121450329,General Dentistry
85138199307,General Dentistry
85139870050,General Dentistry
85120344637,General Dentistry
85159464803,General Dentistry
85144166008,General Dentistry
85146340281,General Dentistry
85134577850,General Dentistry
85083071958,Endocrinology
85147931011,Health (social science)
85092039739,Aquatic Science
85095848278,Aquatic Science
85165929707,Aquatic Science
85067441977,Gerontology
85100384379,Hepatology
85109000124,Hepatology
85159655410,Hepatology
85061294002,Gastroenterology
85098798932,Gastroenterology
85046473436,Gastroenterology
85081929690,Otorhinolaryngology
85088512020,Otorhinolaryngology
85042535275,Otorhinolaryngology
85132816448,Otorhinolaryngology
85147143773,Otorhinolaryngology
85146937051,Otorhinolaryngology
85091691719,Transplantation
85081228270,Transplantation
85074013484,Library and Information Sciences
85088716103,Orthopedics and Sports Medicine
85065766616,Orthopedics and Sports Medicine
85079787046,Orthopedics and Sports Medicine
85096451944,Orthopedics and Sports Medicine
85114796109,Orthopedics and Sports Medicine
85115776466,Orthopedics and Sports Medicine
85156233104,Orthopedics and Sports Medicine
85162212419,Orthopedics and Sports Medicine
85083985466,General Computer Science
85091855716,General Computer Science
85066832483,General Computer Science
85169389778,General Computer Science
85096713258,Surgery
85090786590,Surgery
85087423341,Surgery
85084313658,Surgery
85079196070,Surgery
85113792304,Surgery
85114333700,Surgery
85107980378,Surgery
85087436910,Surgery
85138789451,Surgery
85127644489,Surgery
85124588174,Surgery
85147307835,Surgery
85138378528,Oncology
85069889234,Nephrology
85094956975,Nephrology
85073822735,Nephrology
85092075687,Nephrology
85141994352,Nephrology
85135732672,Nephrology
85140808290,Nephrology
85127280164,Nephrology
85163217038,Nephrology
85098995639,Biotechnology
85058232479,Dermatology
85079119941,Dermatology
85097319186,Dermatology
85067887004,Dermatology
85074097218,Dermatology
85069328095,Dermatology
85138667865,Dermatology
85139888738,Dermatology
85130449503,Dermatology
85117098397,Dermatology
85137122935,Dermatology
85159458429,Dermatology
85103612612,Astronomy and Astrophysics
85091934322,Space and Planetary Science
85058381356,Biochemistry
85082065799,General Energy
85119043130,General Energy
85110104784,General Energy
85145813246,General Energy
85135832662,General Energy
85160828266,General Energy
85129073305,General Pharmacology
85081091584,Urology
85118431291,General Immunology and Microbiology
85161131598,General Immunology and Microbiology
85110356902,Critical Care and Intensive Care Medicine
85047263996,Critical Care and Intensive Care Medicine
85055613453,Critical Care and Intensive Care Medicine
85145204341,Critical Care and Intensive Care Medicine
85164846290,Critical Care and Intensive Care Medicine
85090634635,Insect Science
85059978855,Inorganic Chemistry
85130637751,Inorganic Chemistry
85066456544,Oral Surgery
85165668888,Applied Microbiology and Biotechnology
85059056868,Obstetrics and Gynecology
85090241869,Obstetrics and Gynecology
85090123363,Obstetrics and Gynecology
85054163150,Obstetrics and Gynecology
85052613451,Obstetrics and Gynecology
85124742643,Obstetrics and Gynecology
85134560890,Obstetrics and Gynecology
85122922246,Obstetrics and Gynecology
85087721141,Obstetrics and Gynecology
85153933579,Obstetrics and Gynecology
85107563807,Computational Mechanics
85058812442,Pathology and Forensic Medicine
85045843942,Pathology and Forensic Medicine
85053815915,Pathology and Forensic Medicine
85166519191,Small Animals
85092904360,Materials Science (miscellaneous)
85113262462,Materials Science (miscellaneous)
85113404517,Materials Science (miscellaneous)
85149399676,Materials Science (miscellaneous)
85132047241,Automotive Engineering
85089445740,Business
85136026197,Business
85090425170,Agronomy and Crop Science
85056891474,Agronomy and Crop Science
85164674677,Agronomy and Crop Science
85114725139,Economics
85086051188,Experimental and Cognitive Psychology
85104984885,Atmospheric Science
85056146246,Horticulture
85128724831,Horticulture
85113784835,Physiology (medical)
85113865210,Physiology (medical)
85143854507,Physiology (medical)
85128747377,Architecture
85080932055,Emergency Medicine
85159211707,Environmental Science (miscellaneous)
85105956917,Rheumatology
85135448358,Physical Therapy
85130933127,Physical Therapy
85047194755,Demography
85133100732,Orthodontics
85122468804,Orthodontics
