id,Organization,Country
60084261,Siemens USA,United States
60253271,Hellenic American University,United States
60030992,"California State University, East Bay",United States
60005437,Idaho State University,United States
124212166,University of Connecticut,United States
122976312,University of Alabama,United States
60022577,Roswell Park Cancer Institute,United States
60005447,MUSC College of Medicine,United States
60001001,Broad Institute,United States
130165620,All Life Institute,United States
60013671,Penn State Health Milton S. Hershey Medical Center,United States
60019838,University of Florida College of Nursing,United States
60002829,IU School of Nursing,United States
60024063,University of Massachusetts Boston,United States
60018208,Washington State University Pullman,United States
60017220,Radford University,United States
60011425,American Museum of Natural History,United States
60007670,Smithsonian National Museum of Natural History,United States
60001989,USDA Agricultural Research Service,United States
60026404,Wills Eye Hospital,United States
60015277,Thomas Jefferson University,United States
129038533,Independent Educational Consultant,United States
118903799,Molecular Vision Laboratory,United States
114184110,Einstein Healthcare Network,United States
60015023,The University of Texas MD Anderson Cancer Center,United States
60122606,Purdue University Northwest,United States
60119141,Rutgers University–New Brunswick,United States
60032179,University of Wisconsin-Madison,United States
60032083,"University at Buffalo, The State University of New York",United States
60031581,California Institute of Technology,United States
60030612,"University of California, San Diego",United States
60029526,"University of California, Riverside",United States
60029445,University of Minnesota Twin Cities,United States
60029241,"University of California, Santa Barbara",United States
60028628,Northeastern University,United States
60027950,Carnegie Mellon University,United States
60027561,University of Illinois at Chicago,United States
60027550,"University of California, Los Angeles",United States
60027165,University of Rochester,United States
60026827,Rockefeller University,United States
60026306,University of Nebraska–Lincoln,United States
60026175,Lawrence Livermore National Laboratory,United States
60025371,The University of Alabama,United States
60024324,University of Iowa,United States
60022195,Massachusetts Institute of Technology,United States
60021918,University of Virginia,United States
60021508,University of Notre Dame,United States
60021285,Texas Tech University,United States
60020547,Texas A&amp;M University,United States
60020444,The Catholic University of America,United States
60020304,"University of Maryland, College Park",United States
60019674,Boston University,United States
60015574,"The University of Tennessee, Knoxville",United States
60015457,University of Kansas,United States
60015206,Florida International University,United States
60014439,"University of California, Davis",United States
60013959,University of Florida,United States
60013881,Fermi National Accelerator Laboratory,United States
60011460,Brown University,United States
60011278,Baylor University,United States
60010491,University of Mississippi,United States
60010339,Florida Institute of Technology,United States
60009408,Wayne State University,United States
60009254,Purdue University,United States
60007776,Cornell University,United States
60007363,Northwestern University,United States
60006476,Utah Valley University,United States
60005286,Rice University,United States
60005248,Johns Hopkins University,United States
60003915,Vanderbilt University,United States
60003500,The Ohio State University,United States
60003269,Princeton University,United States
60002092,Florida State University,United States
60000689,Kansas State University,United States
60000221,University of Colorado Boulder,United States
60024885,University of Arkansas for Medical Sciences,United States
60002746,Harvard Medical School,United States
60025778,"University of Michigan, Ann Arbor",United States
60015481,University of Washington,United States
60031859,Seattle Cancer Care Alliance,United States
60003625,Fred Hutchinson Cancer Research Center,United States
60030931,The University of Oklahoma,United States
112924537,"QTest Labs, LLC",United States
60019369,University of Michigan School of Dentistry,United States
60023691,"University of California, San Francisco",United States
60029503,School of Environmental and Biological Sciences,United States
60015669,Rutgers New Jersey Agricultural Experiment Station,United States
60098332,Pacific Rim Electrophysiology Research Institute,United States
60138418,Pennsylvania Hospital,United States
60113355,Pharmerit International,United States
60103003,NorthShore University HealthSystem,United States
60032270,North Dakota State University,United States
60029311,University of Southern California,United States
60028343,Trinity Health Ann Arbor Hospital,United States
60026688,Ohio Northern University,United States
60025152,University of Cincinnati,United States
60024438,University of North Texas,United States
60023143,Tufts University,United States
60022659,University of Connecticut,United States
60022462,"University of New England, USA",United States
60021143,West Virginia University,United States
60017717,The University of North Carolina System,United States
60017457,Kaiser Permanente,United States
60017093,Presbyterian College,United States
60016569,Chapman University,United States
60016280,East Carolina University,United States
60015867,Parkland Health &amp; Hospital System,United States
60015578,Union University,United States
60015543,University of Pittsburgh,United States
60015345,Massachusetts College of Pharmacy and Health Sciences,United States
60013791,University of Hawaiʻi at Mānoa,United States
60012445,University of Utah Health,United States
60010065,The University of Arizona,United States
60009267,Kroger,United States
60009091,Albany College of Pharmacy and Health Sciences,United States
60005558,Mayo Clinic,United States
60005085,Marshall University,United States
60004923,NC State University,United States
60003526,Boston Medical Center,United States
60002558,Campbell University,United States
60002476,Virginia Commonwealth University,United States
60000018,School of Veterinary Medicine,United States
123939020,University of California,United States
122533100,University of Wisconsin,United States
113210715,South Georgia Veterans Health System,United States
113184918,Children's Hospital of Wisconsin,United States
112891548,University of Tennessee,United States
112573306,Accreditation Council for Pharmacy Education,United States
107102905,University of the Sciences,United States
107034699,University of Colorado,United States
105675688,Navitus Health Solutions,United States
60025038,"University of California, Berkeley",United States
60010537,Fairfield University,United States
60030522,Smithsonian Tropical Research Institute,United States
60013372,The University of Texas at Austin,United States
60023539,Jackson School of Geosciences,United States
60003212,The University of Texas at San Antonio,United States
60030118,The Children's Hospital of Philadelphia,United States
60017027,The Childen's Hospital at Montefiore,United States
60009788,University of Iowa Carver College of Medicine,United States
60027090,Virginia Polytechnic Institute and State University,United States
60008757,Bethel University,United States
60030528,Baruch College,United States
60032499,Harvard T.H. Chan School of Public Health,United States
60113988,"Primate Products, Inc",United States
60072478,California National Primate Research Center,United States
60025928,School of Life Sciences,United States
60004683,Arizona State University West Campus,United States
60026695,UT Southwestern Medical Center,United States
60024099,Montefiore Medical Center,United States
60020147,Washington DC VA Medical Center,United States
60017336,National Institute of Allergy and Infectious Diseases (NIAID),United States
60013223,School of Public Health,United States
60010237,Food and Drug Administration,United States
60008578,Henry Ford Hospital,United States
60136265,Arbor Research Collaborative for Health,United States
60001361,University of Pittsburgh School of Medicine,United States
60011754,Auburn University,United States
60011702,La Sierra University,United States
60029929,Massachusetts General Hospital,United States
60017994,Yale School of Medicine,United States
60005856,Harvard School of Dental Medicine,United States
60025488,The University of Utah,United States
60105169,AbbVie,United States
60012708,Stanford University,United States
60105348,Augusta University,United States
60030304,Lenox Hill Hospital,United States
60024609,Indiana University-Purdue University Indianapolis,United States
60021784,New York University,United States
60021160,Cleveland Clinic Foundation,United States
60019970,North Shore University Hospital,United States
60012981,Icahn School of Medicine at Mount Sinai,United States
60001844,Dartmouth-Hitchcock Medical Center,United States
60002182,Mars Incorporated,United States
60028421,University of Colorado School of Medicine,United States
60016081,Harbor-UCLA Medical Center,United States
115750926,DaVita HealthCare Partners Inc.,United States
60011410,Worcester Polytechnic Institute,United States
60026829,Mayo Medical School,United States
60025590,SLAC National Accelerator Laboratory,United States
60006183,Johns Hopkins Bloomberg School of Public Health,United States
60015183,Keck School of Medicine of USC,United States
60014443,HJF,United States
60013227,Northwestern University Feinberg School of Medicine,United States
60030112,National Zoological Park,United States
60025111,The University of North Carolina at Chapel Hill,United States
60018179,University of South Carolina,United States
60001439,Pennsylvania State University,United States
60087823,National Center for Biotechnology Information (NCBI),United States
60030002,Field Museum of Natural History,United States
60112053,"Evidera, USA",United States
60019446,Celgene Corporation,United States
60006463,Nathan S. Kline Institute for Psychiatric Research,United States
109649107,NeuroCog Trials,United States
108519513,ERT,United States
101567793,Acceleron Pharma,United States
60006514,Oklahoma State University,United States
60120612,FHI 360,United States
60021658,Centers for Disease Control and Prevention,United States
60008275,United States Agency for International Development,United States
60097308,"GlaxoSmithKline, USA",United States
60016536,Michigan Technological University,United States
60030769,Vanderbilt University Medical Center,United States
60027565,Columbia University Irving Medical Center,United States
60023009,Penn Medicine,United States
60007474,City of Hope National Med Center,United States
60002058,The Ohio State University Comprehensive Cancer Center,United States
60006873,University of Nevada School of Medicine,United States
60001769,"University of Nevada, Reno",United States
60017412,University of Cincinnati College of Medicine,United States
60073786,Penn State Great Valley,United States
60014235,SUNY Oswego,United States
60116524,Questrom School of Business,United States
60014313,University of Massachusetts Amherst,United States
60008158,Space Telescope Science Institute,United States
60000275,Infrared Processing &amp; Analysis Center,United States
124821061,Community Science and Data Center,United States
60024266,Oak Ridge National Laboratory,United States
60009668,Florida Gulf Coast University,United States
60006173,University of Missouri,United States
60019188,University of Texas at Tyler,United States
122001689,LYSSA LLC,United States
60027485,Institute for Advanced Studies,United States
60000305,Case Western Reserve University,United States
60030440,Cincinnati Children's Hospital Medical Center,United States
60029278,The University of Chicago,United States
60027086,The University of Alabama at Birmingham,United States
60022756,Washington University School of Medicine in St. Louis,United States
60016782,Brigham and Women's Hospital,United States
60012769,Mailman School of Public Health,United States
60012651,Baystate Medical Center,United States
60011605,Vagelos College of Physicians and Surgeons,United States
60002339,Emory University School of Medicine,United States
60005281,"National Heart, Lung, and Blood Institute (NHLBI)",United States
60032838,Stanford University School of Medicine,United States
60024399,Medical College of Georgia,United States
60005837,University of Houston,United States
60032964,Texas Tech University Health Sciences Center at Lubbock,United States
60030451,National Renewable Energy Laboratory,United States
60007027,University of Southern Mississippi,United States
60006297,University of Pennsylvania,United States
122241548,The Hymenoptera Institute,United States
60030171,University of Missouri-St. Louis,United States
60029358,New York State Psychiatric Institute,United States
60012585,Missouri Institute of Mental Health,United States
60004109,University of Mississippi Medical Center,United States
60002688,The Mary Imogene Bassett Hospital,United States
60002333,"Mayo Clinic in Jacksonville, Florida",United States
60103477,University of Houston-Victoria,United States
60014872,World Resources Institute,United States
60007033,City University of New York,United States
60009226,Colorado State University,United States
60031707,Michigan State University,United States
60023722,USDA ARS National Animal Disease Center,United States
60033199,Barbara Ann Karmanos Cancer Institute,United States
60032105,NYU Langone Health,United States
127329130,Medical Oncology,United States
125336008,Medical Oncology,United States
110182158,Novartis Oncology Translational Medicine,United States
60025286,The George Washington University School of Medicine and Health Sciences,United States
60113147,Duke University Medical Center,United States
60029833,University of Oklahoma Health Sciences Center,United States
60107840,Botswana-UPenn Partnership,United States
60026910,Clark University,United States
60025643,Conservation and Research Center (National Zoo),United States
60012786,Walter Reed Army Institute of Research,United States
60020453,University of Nebraska at Kearney,United States
126298875,Brii Biosciences,United States
114175956,VBI Vaccines Inc.,United States
60007977,Albany Medical College,United States
60007651,National Eye Institute (NEI),United States
100356206,PATH,United States
60012771,Howard University,United States
60012957,University of Maryland School of Medicine,United States
60119078,Department of Epidemiology,United States
60080012,Nationwide Children’s Hospital,United States
60028548,University of Washington School of Medicine,United States
60028392,University of Colorado Anschutz Medical Campus,United States
60018701,School of Public Health,United States
60008724,Duke University,United States
60005455,Yale University,United States
60000928,Emory University,United States
117155603,Yale Institute for Global Health,United States
60000635,USDA ARS Beltsville Agricultural Research Center,United States
60029747,University of Georgia,United States
60030162,Columbia University,United States
60148067,Eberly College of Science,United States
60122465,California University of Pennsylvania,United States
60033021,The University of New Mexico,United States
60031316,University of Wisconsin-River Falls,United States
60029489,University of Alaska Anchorage,United States
60026415,Stony Brook University,United States
60019647,Georgia Institute of Technology,United States
60018394,South Dakota School of Mines &amp; Technology,United States
60015720,Marquette University,United States
60014662,Drexel University,United States
60012403,Mercer University at Macon,United States
60012269,Clark Atlanta University,United States
60007278,"University of California, Irvine",United States
60007174,Lawrence Berkeley National Laboratory,United States
60006164,Los Alamos National Laboratory,United States
60005183,Southern University and A&amp;M College,United States
60003545,Loyola University of Chicago,United States
60003467,The University of Texas at Arlington,United States
60000546,The Bartol Research Institute,United States
60009500,University of Vermont,United States
123273782,"Praedicat, Inc.",United States
60018475,Bowling Green State University,United States
60122603,Purdue University Fort Wayne,United States
60017031,Ann &amp; Robert H. Lurie Children's Hospital of Chicago,United States
60018573,University of Texas Health Science Center at San Antonio,United States
60016257,NIH Clinical Center (CC),United States
60005247,David Geffen School of Medicine at UCLA,United States
60031892,"University of Nevada, Las Vegas",United States
112774514,Glaucoma Center of San Francisco,United States
60021519,University of Miami Leonard M. Miller School of Medicine,United States
60031117,Boston College,United States
60020469,UNC School of Medicine,United States
60013409,National Cancer Institute (NCI),United States
60003711,University of Pennsylvania Perelman School of Medicine,United States
120444263,Worldwide Hospice Palliative Care Alliance,United States
60003342,USDA Forest Service,United States
60003029,ORNL Environmental Sciences Division,United States
60021121,Indiana University Bloomington,United States
60016662,Colgate University,United States
60011666,State University of New York Albany,United States
60027576,University of New Hampshire Durham,United States
60023517,Northern Arizona University,United States
60023471,Pacific Northwest National Laboratory,United States
60017825,Smithsonian Environmental Research Center,United States
60015348,Hamilton College,United States
60011976,University of Alaska Fairbanks,United States
60009043,School of Earth and Space Exploration,United States
60008827,University of Wyoming,United States
60000745,University of Illinois Urbana-Champaign,United States
60000473,Rutgers University-Newark Campus,United States
60019720,University of Maryland School of Dentistry,United States
60020949,University of Maryland Marlene and Stewart Greenebaum Cancer Center,United States
60023868,University of Illinois College of Medicine,United States
60014007,American Type Culture Collection,United States
60016261,University of Nebraska Medical Center,United States
60020301,University of Arizona Cancer Center,United States
60009343,Memorial Sloan-Kettering Cancer Center,United States
112812049,Bhumirajanagarindra Kidney Institute,Thailand
60194928,Mahachulalongkornrajavidyalaya University,Thailand
107085226,Nakhonratchasima College,Thailand
60091534,Ratchaburi Artificial Insemination and Biotechnology Research Center,Thailand
125429392,Bureau of Biotechnology in Livestock Production,Thailand
101259366,UNAIDS,Thailand
125781648,Sunpasithiprasong Hospital,Thailand
112958814,Khonkaen Hospital,Thailand
126598301,Rail and Modern Transportation Research Center,Thailand
120948045,MaungThai Insurance PCL,Thailand
60091550,Sappasitthiprasong Hospital,Thailand
129499152,Intervet (Thailand) Ltd.,Thailand
100826489,Chonburi Cancer Hospital,Thailand
114159116,Sawan Pracharak Hospital,Thailand
60023241,Trang Hospital,Thailand
106365252,National Institute of Metrology,Thailand
60091477,Chiang Mai Rajabhat University,Thailand
116094781,Angthong Hospital,Thailand
60091527,Pibulsongkram Rajabhat University,Thailand
60091539,Samutsakhon General Hospital,Thailand
60029610,Lampang Hospital,Thailand
60029132,Mae Chan Hospital,Thailand
60025484,Banglamung Hospital,Thailand
60021165,Lamphun Hospital,Thailand
120368459,Maharaj Nakornratchasrima Hospital,Thailand
106249955,Phayao Hospital,Thailand
101463088,Samutprakarn Hospital,Thailand
100667167,Chiang Kham Hospital,Thailand
122906616,Mettapracharak (Wat Rai Khing) Hospital,Thailand
128203322,Baiya Phytopharm Co. Ltd.,Thailand
116677307,College of Pharmacotherapy Thailand,Thailand
114158874,WorldWide Antimalarial Resistance Network – Asia-Pacific Regional Centre,Thailand
60030556,Sukhothai Thammatirat Open University,Thailand
100729786,Buddhachinnaraj Hospital,Thailand
121577996,Research Network of NANOTEC - CU on Environment,Thailand
116056334,Charoen Pokphand Foods Public Company Limited,Thailand
113172215,Intervet (Thailand) Ltd.,Thailand
127148398,FRS(T),Thailand
116052052,Buntharik Hospital,Thailand
60022096,"The Food and Drug Administration, Thailand Ministry of Public Health",Thailand
127564353,FRS(T),Thailand
60199584,Chulalongkorn Cancer Immunotherapy Excellence Center,Thailand
115838518,Sunpasitthiprasong Hospital,Thailand
101710960,Nakhon Ratchasima Provincial Public Health Office,Thailand
127703994,SCG,Thailand
60268829,Asian Disaster Preparedness Center,Thailand
101618617,Queen Sirikit National Institute for Child Health,Thailand
123341899,Thai Red Cross Rehabilitation Center,Thailand
127061655,Research Center for Biocomposite Materials for Medical Industry and Agricultural and Food Industry,Thailand
124951651,Central Chest Institute of Thailand,Thailand
114718965,Somdech Phra Pinklao Hospital,Thailand
116578178,Ministry of Transport,Thailand
60002105,Chulachomklao Royal Military Academy,Thailand
60194939,Nakhon Phanom University,Thailand
60006387,Payap University,Thailand
60014387,National Research Council of Thailand,Thailand
110345257,Phetchaburi Coastal Aquaculture Research and Development Center,Thailand
127647729,Winner Prototype,Thailand
118191910,Chevron Thailand Exploration and Production,Thailand
128154093,MARS—Motor AI Recognition Solution,Thailand
124101394,Digital Economy Promotion Agency,Thailand
60271836,Institut de Recherche sur l'Asie du Sud-est Contemporaine,Thailand
126872889,Talenome DNA Professional Ltd,Thailand
60092124,Chaiyapoom Hospital,Thailand
60033133,Bangkok Metropolitan Administration,Thailand
60026403,Songkhla Hospital,Thailand
128159592,Dialysis Policy and Practice Program (Di3P),Thailand
127648342,Center of Excellence in Kidney Metabolic Disorders,Thailand
127621454,Banphaeo Hospital,Thailand
127436441,Phra Nakhon Si Ayutthaya Hospital,Thailand
126190167,Maharat Nakhon Ratchasima Hospital,Thailand
115633254,Krabi Hospital,Thailand
113676844,Sisaket Hospital,Thailand
107898110,Maharaj Nakhon Si Thammarat Hospital,Thailand
107653501,Udonthani Hospital,Thailand
107283127,Chaophraya Abhaibhubejhr Hospital,Thailand
101348625,Chiangrai Prachanukroh Hospital,Thailand
129973437,Thanyaburi District Prison,Thailand
128108774,Division of Medical Services,Thailand
60018325,Kasem Bundit University,Thailand
60271923,Bangkokthonburi University,Thailand
127687095,Saelee Research Group,Thailand
127686847,Rittiruam Research Group,Thailand
128123245,Wongveerakit Crocodile Farm,Thailand
60008372,Rutnin Eye Hospital,Thailand
128220159,Sukhunphat Malimas Microbiology Laboratory Biosafety level I,Thailand
117924993,Phetchabun Provincial Health Office,Thailand
60199577,Siriraj Piyamaharajkarun Hospital,Thailand
124728599,Pathumthani University,Thailand
113196375,National Institute of Health of Thailand,Thailand
112772135,Southeast Asian Fisheries Development Center,Thailand
130070472,Center for Excellence in Biostatistics,Thailand
60000282,Saraburi Hospital,Thailand
106959129,Phramongkutklao Hospital,Thailand
60015046,Huachiew Chalermprakiet University,Thailand
129990093,Intronics company limited,Thailand
118660916,Ltd.,Thailand
129138465,National Astronomical Research Institute of Thail,Thailand
60194924,Uttaradit Rajabhat University,Thailand
101586012,Srithanya Psychiatric Hospital,Thailand
60003411,Thaksin University,Thailand
114344758,National Science Technology and Innovation Policy Office (STI),Thailand
129575167,USAMD-AFRIMS,Thailand
119943544,Ltd.,Thailand
129321297,Thai Clinical Psychologist Association,Thailand
119875610,VOICES-Thailand Foundation,Thailand
106713902,Theptarin Hospital,Thailand
129270244,Akara Resources Public Company Limited,Thailand
60025306,"International Health Policy Program, Thailand",Thailand
114447536,Thailand National Quitline,Thailand
60019285,Bangkok Metropolitan Electricity Authority,Thailand
112979650,Golden Jubilee Medical Center,Thailand
130113707,Chulalongkorn University’s,Thailand
60028190,Chulalongkorn University,Thailand
60026046,"Faculty of Medicine, Khon Kaen University",Thailand
60022183,King Chulalongkorn Memorial Hospital,Thailand
60022498,Naresuan University,Thailand
60008786,King Mongkut's University of Technology Thonburi,Thailand
60021944,Kasetsart University,Thailand
60018809,Silpakorn University,Thailand
60103462,King Mongkut's University of Technology North Bangkok,Thailand
60015728,Thailand Ministry of Public Health,Thailand
60012521,Thammasat University,Thailand
60017165,Khon Kaen University,Thailand
60006964,Phramongkutklao College of Medicine,Thailand
60199578,Ramathibodi Hospital,Thailand
122402756,Bur-apha University,Thailand
60012718,Mahidol University,Thailand
60006314,Prince of Songkla University,Thailand
60023366,Rangsit University,Thailand
60009116,Burapha University,Thailand
60113829,"SCG Chemicals Co., Ltd.",Thailand
60011220,"Sirindhorn International Institute of Technology, Thammasat University",Thailand
60021543,King Mongkut's Institute of Technology Ladkrabang,Thailand
60114641,PTT Public Company Limited,Thailand
60000881,Chiang Mai University,Thailand
60091507,Metallurgy and Materials Research Institute Chulalongkorn University,Thailand
60026526,Walailak University,Thailand
60117963,"Kasetsart University, Chalermphrakiat Sakon Nakhon Province Campus",Thailand
60276473,Laboratory of Organic Synthesis,Thailand
60022676,Ramkhamhaeng University,Thailand
60000316,Srinakharinwirot University,Thailand
60017285,Thailand National Nanotechnology Center,Thailand
60011947,Thailand National Center for Genetic Engineering and Biotechnology,Thailand
60199575,Siriraj Hospital,Thailand
60025527,"Faculty of Medicine, Prince of Songkia University",Thailand
60023217,Police General Hospital,Thailand
60022738,Bhumibol Adulyadej Hospital,Thailand
60020352,Vajira Hospital,Thailand
60013939,"Faculty of Medicine, Thammasat University",Thailand
60011546,Buddhachinaraj Hospital,Thailand
60005255,Rajavithi Hospital,Thailand
60199583,Chulalongkorn Business School,Thailand
60276478,Laboratory of Biochemistry,Thailand
60272065,Rajamangala University of Technology Rattanakosin,Thailand
60272060,Rajamangala University of Technology Tawan-ok,Thailand
60011189,"Faculty of Medicine Siriraj Hospital, Mahidol University",Thailand
60030324,University of the Thai Chamber of Commerce,Thailand
60117964,"Kasetsart University, Kamphaeng Saen Campus",Thailand
60199582,Center of Excellence on Petrochemical and Materials Technology,Thailand
121768523,Associate Fellow of Royal Society of Thailand,Thailand
106722670,Synchrotron Light Research Institute,Thailand
60013120,Maharaj Nakhon Ratchasima Hospital,Thailand
100840713,Pranangklao Hospital,Thailand
60014471,Thailand National Metal and Materials Technology Center,Thailand
60001884,"Ministry of Higher Education, Science, Research and Innovation",Thailand
100386914,Faculty of Science,Thailand
112649034,Synchrotron Light Research Institute (Public Organization),Thailand
60103781,Suan Sunandha Rajabhat University,Thailand
101626399,Thai Microelectronics Center (TMEC),Thailand
60004391,Thailand National Science and Technology Development Agency,Thailand
60138776,"Sasin School of Management, Bangkok",Thailand
60194933,Chandrakasem Rajabhat University,Thailand
60013698,Thailand Ministry of Education,Thailand
60031780,Thai Red Cross Agency,Thailand
60012921,Khon Kaen Regional Hospital,Thailand
60010778,Queen Sirikit National Institute of Child Health,Thailand
102066915,Chiangrai Prachanukroh Hospital,Thailand
60272485,Kamnoetvidya Science Academy,Thailand
60011525,Thailand National Electronics and Computer Technology Center,Thailand
60020524,Mae Fah Luang University,Thailand
60016965,The HIV Netherlands Australia Thailand Research Collaboration,Thailand
60010105,Asian Institute of Technology Thailand,Thailand
119643476,Thai-Nichi Institute of Technology,Thailand
123846419,King Moungkult's Institute of Technology,Thailand
60110787,Vidyasirimedhi Institute of Science and Technology,Thailand
60015084,Thailand Institute of Scientific and Technological Research (TISTR),Thailand
60245220,Chulabhorn Research Institute,Thailand
60091516,Center of Excellence on Hazardous Substance Management,Thailand
60159954,PTT Exploration and Production Public Company Limited,Thailand
108289754,Chumphae Hospital,Thailand
60022570,Lerdsin Hospital,Thailand
60029201,Chonburi Regional Hospital,Thailand
60028340,Prapokklao Hospital,Thailand
128801573,Saladaeng Physiotherapy Clinic,Thailand
60091528,Nakhonratchasima Rajabhat University,Thailand
60026326,Suranaree University of Technology,Thailand
121157566,Samut Songkhram Marine Fisheries Research and Development Station,Thailand
60009119,Mahanakorn University of Technology,Thailand
60002620,"Faculty of Medicine, Chulalongkorn University",Thailand
122394554,Maritime Medicine Residency Training Centre,Thailand
60199562,"School of Medicine, Mae Fah Luang University",Thailand
60091569,Valaya Alongkorn Rajabhat University,Thailand
60015887,"Faculty of Medicine Ramathibodi Hospital, Mahidol University",Thailand
112599786,Sanitation Medical Academic Center,Thailand
60032250,"Faculty of Medicine, Chiang Mai University",Thailand
60091468,"Mahidol University, Faculty of Dentistry",Thailand
60194927,Sakon Nakhon Rajabhat University,Thailand
60030267,Rajamangala University of Technology Thanyaburi (RMUTT),Thailand
60030801,Ubon Ratchathani University,Thailand
114464048,Occupational Safety and Health Bureau,Thailand
60022464,Chulabhorn Royal Academy,Thailand
112948332,Bangrak Sexually Transmitted Infections Center,Thailand
110274706,Dentaland Clinic,Thailand
60091573,"Zoological Park Organization, Bangkok",Thailand
123780487,Engineering Reward (Thailand) Co.,Thailand
129314556,Borommaratchachonnani Srisataphat,Thailand
60020543,Bumrungrad International Hospital,Thailand
101920189,King Mongkul's Institute of Technology Ladkrabang,Thailand
122553855,Denla Kindergarten,Thailand
60103476,King Mongkuts University of Technology,Thailand
60021938,Nakhon Pathom Rajabhat University,Thailand
60012448,Bangkok University,Thailand
107898082,Queen Savang Vadhana Memorial Hospital,Thailand
60114221,University of Phayao,Thailand
101547033,Division of Nephrology,Thailand
122780315,Science,Thailand
125236841,Glass Bridge Company Limited,Thailand
122733784,Shera Public Company Limited,Thailand
122388748,Research Network of NANOTEC-KU on Nanocatalyst and Nanomaterials for Sustainable Energy and Environment,Thailand
124899076,ThaiHealth Promotion Foundation,Thailand
101906766,True Corporation,Thailand
60021897,Sirindhorn College of Public Health,Thailand
123068456,Occupational Health and Safety Unit,Thailand
60001921,National Institute of Development Administration,Thailand
101335017,Securities and Exchange Commission (SEC) of Thailand,Thailand
120195070,Pharmacy Council,Thailand
60002875,Mahasarakham University,Thailand
60022674,Electricity Generating Authority of Thailand,Thailand
60274668,National Astronomical Research Institute of Thailand,Thailand
123865055,Synchrotron Light Research Institute,Thailand
126474599,Nopparat Rajathanee Hospital,Thailand
121115265,Phyathai 3 Hospital,Thailand
109168253,Academy of Science,Thailand
60004592,Prasat Neurological Institute,Thailand
60199569,Mae Fah Luang University Hospital,Thailand
106208652,Academy of Science,Thailand
